text,task_1,task_2
@rssurjewala #Hindus DYING #HindusLivesMatter   #KindAttnPMNarendraModi  #coronasecondwaveinindia #ModiMadeDisaster #ResignModi    #BJP #RSS LIARS   I WARNED 2 YRS BACK #RSSTerrorists BANNED BY SARDAR PATEL IGNORED  #शेर_नहीं_भेड़िया_पाल_लिया_भक्तो  #MautKaSaudagar,NOT,NONE
"सब लोग इतने पैसे डोनेट ही कर रहे हैं फिर भी आम आदमी को सिलेंडर और कन्सेंट्रेटर ख़ुद से ही ख़रीदना पड़ रहा है , तो पैसे कहाँ जा रहे हैं?   बीयर्ड ऑयल में ?   #IndiaFightsCorona  #indianeedoxygen  #IndiaCovidCrisis",NOT,NONE
शेर-ए- सिवान शहाबुद्दीन साहब से रिश्ता क्या  لا إله إلا الله محمد رسول الله  #JusticeForShahabuddin,NOT,NONE
@AskAnshul आसमानी किताब के नाजायज औलाद है।,HOF,OFFN
"@Shikha0222 इसे कहते हैं दोगला पंती जिस सपा की दम पर 0 से 10 का सफर किया और माया अपनी इज्ज़त बचा पाई,, आज उसी सपा को मिटाने की बात कर रही हैं,,,",NOT,NONE
@Sandeep_News_24 बिहार की आम जनता को बहुत ही नाराजगी है केंद्र सरकार की सिस्टम से और लालू परिवार से  यह दिन काले अक्षरों में लिखा जाएगा और आने वाला पीढ़ी इसे याद रखेगा  जो एक संसद को अपमानित किया गया अपनी मिट्टी नहीं मिलने दिया   आज हमारी बारी है तो कल तुम्हारी बारी होगी #JusticeForShahabuddin,HOF,HATE
"यही तेरी असलियत है कि चोरी रोज करेगा खेत मे लेकिन कभी भी उसे स्वीकार नहीं करेगा। गजेटियर भी तुझे दे दिया तब भी तू कुत्ता का कुत्ता ही रहा। अब भाग कुत्ते की औलाद। जा कहीं भैंस, गन्ने की चोरी कर ले, सुबह घर कैसे चलेगा तेरा। https://t.co/h1kySjw2l0",HOF,OFFN
"भोजपुरी का 2 टके का सिंगर किसी के लड़की का नाम लेकर फूहड़ गाना बना सकते है कभी सोचा है कि वो लड़की जब घर से बाहर निकलती है, मोहल्ले में, पान दुकान पे , DJ में उसका नाम लेकर फूहड़ गाना बज रहा होता है तो कैसा महसूस करती होगी? घर आके क्या सोचती होगी..? DOP Shiva Chaudhary",HOF,HATE
"#MuddaGaramHai चुनाव नतीजों के बाद बंगाल में जारी हिंसा अप्रत्याशित, बीजेपी कार्यकर्ताओं के ख़िलाफ़ जारी हिंसा राज्य प्रायोजित, दोषियों के ख़िलाफ़ कड़ी कार्रवाई की जाए: प्रकाश जावडेकर    #BJP  #TMC #WestBengalViolence #BengalBurning @ARPITAARYA https://t.co/tHJh1WCHs2",NOT,NONE
@anushka_s2 मूर्ख लड़की,HOF,OFFN
जो शहाबुद्दीन के साथ हैं वो इस ट्वीट को रीट्वीट करें और इस हैसटैग पर ट्वीट करें #JusticeForShahabuddin,NOT,NONE
"यदि बाबरी ढ़ांचा गिरने पर तत्कालीन भाजपा द्वासित 4 राज्य सरकारों को बर्खास्त कर उन राज्यों में राष्ट्रपति शासन लगाया जा सकता है तो आज बिहार में लोकतंत्र के ढ़ांचे को तहस-नहस कर के जिस प्रकार से नरसंहार चल रहा है, वहां की राज्य सरकार को तुरंत बर्खास्त करना चाहिए। #BengalBurning",NOT,NONE
What a shameless guy !! दोगला !! https://t.co/VU9uIgW7xv,HOF,OFFN
#कृषि_कानून_रद्द_करने_पड़ेंगे #GodiMedia #Ban_Evm #25सांसद_लापता_है #ResignModi #zeenews #AajTak,NOT,NONE
"वर्तमान स्थिति में मुझे लगता है कि हमारे राष्ट्रपति जी और हमारे प्रधानमंत्री जी ""धृतराष्ट्र"" की तरह हैं| #राष्ट्रपति_जी_बंगाल_संभालो #BengalBurning #bengalvoilence @beingarun28 @OpIndia_com @sambitswaraj @DChaurasia2312 @AsYouNotWish",HOF,HATE
@Dr_Uditraj अमेरिका में तुम जैसे लोग दोगला राजनीति नहीं करते है इसलिए वहां मास्क नहीं लगाना पड़ रहा है,HOF,OFFN
कोई यहाँ भी नज़र डाले 😢 #ModiKaVaccineJumla https://t.co/HzX0PvohPQ,NOT,NONE
#AajTak_दलाल_मोदी_का https://t.co/ZKKV8pvIu9,NOT,NONE
@Kavi_Ghar सवाल यह नही कि वो मुझे वेश्या कहता है सवाल तो यह है कि मुझे वेश्या बनाया किसने ? -नवनीत,HOF,HATE
जानवर भी हमें बहुत कुछ सिखाती है ।   किस तरह पानी को बचाना चाहिए ये हम सभी को इस हाथी से सीखने की जरूरत।  खूबसूरत दृश्य  @ParveenKaswan @nisha_singhmarr  @CentralIfs  @PraveenIFShere  @ipskabra  @ipsvijrk  @Sanjay97odisha  @MVRaoIPS  @mvraoforindia  @polrajiv  @AwanishSharan https://t.co/V1DFa8Lv0p,NOT,NONE
तिहाड़ जेल के स्पेशल सेल में कोरोना पहुंचा कैसे मुझे लगता हे ये सिस्टम का कोरोना है    #JusticeForShahabuddin,NOT,NONE
इसी टाइम पे वन नेशन वन इलेक्शन होना चाहिए था ! #JusticeForShahabuddin #ExitModi #PresidentRuleInBengal #नरेंद्र_मोदी_ग्लोबल_पप्पू #BengalBurning #दीदी_ओ_दीदी #BengalElection2021 #ElectionResult,NOT,NONE
कोविड टीकाकरण: राजस्थान में गांवों में कैंप लगाए जाने से टीकाकरण मुहिम पर क्या असर पड़ा है? रिपोर्ट: @divendrasingh  #Rajastan @ashokgehlot51 @RajCMO #COVIDSecondWave #CovidVaccine  https://t.co/Q1uzQig8h4,NOT,NONE
"@Bhartim01768706 ये हरामी शिक्षक नहीं, शिक्षक के नाम पर कलंक है, सालों को फांसी से कम सजा नहीं होनी चाहिए",HOF,OFFN
@yadavtejashwi ये तस्वीर अपनी ज़ेहन में बिठा लेना ये तस्वीर @RJDforIndia को बर्बादी पर ले जाएगा। #JusticeForShahabuddin https://t.co/TiBPAeIzSx,NOT,NONE
@mdanis_2 @Mkkhan9090 @Anjana_Modi_ @nagrik25 @DXLucifer_Devil @Khushbu_shaikh1 @speedytohike @ProfNoor_ @iPraveenK_ @Insaafparody111 मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
