text,task_1,task_2,Processed_Post,Labels Set
"@sambitswaraj इसके मुह की साइज़ देखो

स्लीपर चप्पल 👡 जैसी 😊😊😂",1,OFFN,इसके मुह की साइज़ देखो स्लीपर चप्पल जैसी,1
सबसे ज्यादा खुशी तब होती है जब आप किसी को 100 या 500 ₹ का टेप लगा हुआ नोट चला देते हैं।,0,NONE,सबसे ज्यादा खुशी तब होती है जब आप किसी को या का टेप लगा हुआ नोट चला देते हैं,0
@laluprasadrjd एक बात तो कंफर्म हो गई है तू बहुत बेशर्म इंसान है लालू चोर जेल में रहने के बावजूद भी तेरी शर्म नहीं है हिजड़ा कहीं की दोगला बिहार को बर्बाद कर दिया आज बिहार हर जगह बदनाम है बिहार की जनता पता नहीं कैसी सोच रखती है जो तुम जैसे चोरों को वोट देती है सडता रहेगा जेल में जब तक मोदी जी ह,1,OFFN,एक बात तो कंफर्म हो गई है तू बहुत बेशर्म इंसान है लालू चोर जेल में रहने के बावजूद भी तेरी शर्म नहीं है हिजड़ा कहीं की दोगला बिहार को बर्बाद कर दिया आज बिहार हर जगह बदनाम है बिहार की जनता पता नहीं कैसी सोच रखती है जो तुम जैसे चोरों को वोट देती है सडता रहेगा जेल में जब तक मोदी जी ह,1
रोहित सरदाना का शव कोविड पॉज़िटिव होने के बावजूद उसके गांव कुरुक्षेत्र भेज दिया जाता है। शहाबुद्दीन साहब की रिपोर्ट नेगेटिव होने के बावजूद भी आखरी दीदार का हक़ परिवार से छीनकर जनाज़ा सिवान नही भेजा जाता। ये है असली इस्लामोफोबिया 😡 #Islamophobia_in_india  #JusticeForShahabuddin,0,NONE,रोहित सरदाना का शव कोविड पॉज़िटिव होने के बावजूद उसके गांव कुरुक्षेत्र भेज दिया जाता है शहाबुद्दीन साहब की रिपोर्ट नेगेटिव होने के बावजूद भी आखरी दीदार का हक़ परिवार से छीनकर जनाज़ा सिवान नही भेजा जाता ये है असली इस्लामोफोबिया,0
@abhishek_india1 @SHIFUJIJAIHIND @Rahul_IND1 @OmvaaniBjp @Gajjusay @TheDeepak2020In @ippatel @anil_baluni @UmeshRai_BJP Centre needs to deploy Army &amp; impose President's Rule to save West Bengal from Mamata's Khooni 'Khela Hobe' Direct Action Day Call. Jsr  #राष्ट्रपति_जी_बंगाल_संभालो #BengalBurning,0,NONE,राष्ट्रपतिजीबंगालसंभालो,0
"RT @imsiddhu4u: राहुल, तूने मोदी जी को चोर कहा और उसने माफी मंगवा ली…

अब मोदी जी ने तेरे बाप को चोर कहा,  जा दम है तो मंगवा ले माफी…😂
@Rah…",1,OFFN,राहुल तूने मोदी जी को चोर कहा और उसने माफी मंगवा ली अब मोदी जी ने तेरे बाप को चोर कहा जा दम है तो मंगवा ले माफी,1
@RiteshK13402216 @PNRai1 भूरी काकी के झोपड़े की उपज के दिमाग मे तो सुअर की T@Ti भरी रहती है।,1,PRFN,भूरी काकी के झोपड़े की उपज के दिमाग मे तो सुअर की भरी रहती है,1
@kanhaiyakumar अबे अर्बन नक्सल आतंकवादीयो के एजन्ट,1,OFFN,अबे अर्बन नक्सल आतंकवादीयो के एजन्ट,1
"@SameerSam2001 @Dr_Uditraj दोस्तों, आओ हम सब सर्वसम्मति से महान अर्थशास्त्री, धुरंधर वैज्ञानिक, अंतर्राष्ट्रीय किसान, भयंकर सवर्ण-दलित मसीहा #चुदित राज जी को खांग्रेस #अध्यक्ष एवं #पलधानमंतली बनाएं !!🙏 ""सभी #समस्याएं समाप्त"" #उदित_राज_को_अध्यक्ष_बनाओ_बे @Dr_Uditraj  #CovidVaccine https://t.co/HrWBrorcLe",1,OFFN,दोस्तों आओ हम सब सर्वसम्मति से महान अर्थशास्त्री धुरंधर वैज्ञानिक अंतर्राष्ट्रीय किसान भयंकर सवर्णदलित मसीहा चुदित राज जी को खांग्रेस अध्यक्ष एवं पलधानमंतली बनाएं सभी समस्याएं समाप्त उदितराजकोअध्यक्षबनाओबे,1
कौवा सावन में नाच जाए तो मोर नही होता हर दाढ़ी बढ़ाने वाला रविंद्र नाथ टैगोर नही होता!#ResignModi,1,HATE,कौवा सावन में नाच जाए तो मोर नही होता हर दाढ़ी बढ़ाने वाला रविंद्र नाथ टैगोर नही होता,1
हिंदुत्व की आड़ में जैसे अखिलेश ने आजम खान की मदद नहीं की। वैसे ही तेजस्वी ने शहाबुद्दीन की मदद नहीं की। धन्यवाद।  #JusticeForShahabuddin,0,NONE,हिंदुत्व की आड़ में जैसे अखिलेश ने आजम खान की मदद नहीं की वैसे ही तेजस्वी ने शहाबुद्दीन की मदद नहीं की धन्यवाद,0
@fake_patrakar मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,0,NONE,मोदी तुम इस्तीफा दो हम तुम्हारे साथ है,0
"@PuspendraTweet  हल्का फुल्का बुखार, चिड़चिडाहट  और सांस लेने में तकलीफ,कोरोना के लक्षण नहीं है..  कुछ लोगों को ये बिमारी 2014 से है और अभी दशकों तक बनी रहेगी। ..😷  #PresidentRuleInBengal #BengalBurning #BengalViolence #CruelMamata #Congress",1,HATE,हल्का फुल्का बुखार चिड़चिडाहट और सांस लेने में तकलीफकोरोना के लक्षण नहीं है कुछ लोगों को ये बिमारी से है और अभी दशकों तक बनी रहेगी,1
@Shraddh64712686 @follow2deep @devilx710 @ReallySwara हाफिज की म का ब ।। घोषित करने से कुछ नहीं होती जैसे छोड़ कर आये थे वैसे वापिस लेकर आओ और हम बीच बाजार में उसे उल्टा लटका कर उसे सजा देंगे और कुत्ते की मौत मरेंगे तुम्हारी तरह पाकिस्तान छोड़ कर नहीं आएंगे।।,1,OFFN,हाफिज की म का ब घोषित करने से कुछ नहीं होती जैसे छोड़ कर आये थे वैसे वापिस लेकर आओ और हम बीच बाजार में उसे उल्टा लटका कर उसे सजा देंगे और कुत्ते की मौत मरेंगे तुम्हारी तरह पाकिस्तान छोड़ कर नहीं आएंगे,1
You are the talk of every country @PMOIndia  #कृषि_कानून_रद्द_करने_पड़ेंगे #ResignModi #FarmersProtest https://t.co/RjdMZwvCgG,0,NONE,कृषिकानूनरद्दकरनेपड़ेंगे,0
"@narendramodi_in @narendramodi @AmitShah @AmitShahOffice @BJP4India हमने गुजरात वाले लीडर चुने थे,  विकास करना अच्छी बात है, पर इस विकास को देखेने के लिये जिंदा रहना होगा?  #BengalBurning  @KapilMishra_IND  @RSSorg @VHPDigital @vinod_bansal @hindurakshasena @prabodhanandji https://t.co/LRBIlCj2Vu",0,NONE,हमने गुजरात वाले लीडर चुने थे विकास करना अच्छी बात है पर इस विकास को देखेने के लिये जिंदा रहना होगा,0
"#सत_भक्ति_सन्देश कबीर वेश अतीत का, अधिक करै अपराध बाहिर दीशै साधु गति, अंतर बड़ा असाध। अर्थ :  कबीर कहते है की उसका वेश भूसा सन्यासी जैसा है किन्तु वह बड़ा अपराधी है। बाहर से वह साधु जैसा करता है परन्तु अंदर से वह अत्यंत दुष्ट है। ऐसे वेश धारी साधुओं से सावधान रहना चाहिये https://t.co/5zrvDJgEfQ",1,HATE,सतभक्तिसन्देश कबीर वेश अतीत का अधिक करै अपराध बाहिर दीशै साधु गति अंतर बड़ा असाध अर्थ कबीर कहते है की उसका वेश भूसा सन्यासी जैसा है किन्तु वह बड़ा अपराधी है बाहर से वह साधु जैसा करता है परन्तु अंदर से वह अत्यंत दुष्ट है ऐसे वेश धारी साधुओं से सावधान रहना चाहिये,1
What is more फूहड़?,1,PRFN,फूहड़,1
"चित आज सहज नहीं, मन आज व्यथित भी, घात लगाकर हत्या, बलात्कार, आगजनी, कितना न्यायसंगत? उत्तरदायित्व किसका था, किसका नहीं, प्रशासन और राजतंत्र के नाम पर खेली खून की होली। कौन बनेगा आरोपी कौन बनेगा संरक्षक? प्रशन ही स्वयं चिंतित है? @ShivrajKaBhanja @goelgauravbjp  #BengalBurning https://t.co/VQsj9pDcWd",1,HATE,चित आज सहज नहीं मन आज व्यथित भी घात लगाकर हत्या बलात्कार आगजनी कितना न्यायसंगत उत्तरदायित्व किसका था किसका नहीं प्रशासन और राजतंत्र के नाम पर खेली खून की होली कौन बनेगा आरोपी कौन बनेगा संरक्षक प्रशन ही स्वयं चिंतित है,1
भारत के लीए आंतर्राषट्रीय स्तर पर चंदा हो रहा है। पर अंध भक्तो को कुछ फर्क नही पडता। क्युं की यह अंध भक्त है देश भक्त नही। #PMCaresFund_का_हिसाब_दो #AndhBhakt #ResignPMmodi #AatmanirbharBharat https://t.co/0TqK7LJckx,1,HATE,भारत के लीए आंतर्राषट्रीय स्तर पर चंदा हो रहा है पर अंध भक्तो को कुछ फर्क नही पडता क्युं की यह अंध भक्त है देश भक्त नही काहिसाबदो,1
"@harmans56864205 @AmitShah @JitinPrasada भाई बीजेपी अब पार्टी कम ड्रामा company जादा हो गयी है ये  @narendramodi हेड है इस ड्रामा company का, in सबका नाटक बंद कर दूंगा इस बार, ढोगी ड्रामेबाज़ चाचा @narendramodi को वोट देकर भूल कर दी भाई, धर्म के नाम पर लूट लिया कमीने ने देश ko।",1,OFFN,भाई बीजेपी अब पार्टी कम ड्रामा जादा हो गयी है ये हेड है इस ड्रामा का सबका नाटक बंद कर दूंगा इस बार ढोगी ड्रामेबाज़ चाचा को वोट देकर भूल कर दी भाई धर्म के नाम पर लूट लिया कमीने ने देश,1
"#SaturdayThoughts
कुरान में बकरों की बलि का कोई विधान नहीं है फिर क्यों मुसलमान समाज बकरे को हलाल करता है",1,HATE,कुरान में बकरों की बलि का कोई विधान नहीं है फिर क्यों मुसलमान समाज बकरे को हलाल करता है,1
@AcharyaPramodk 23 मई को नानी के साथ सब कुछ याद आयेगा पर मा नही आयेगी । पप्पू के साथ नानी के घर चले जाना ।,0,NONE,मई को नानी के साथ सब कुछ याद आयेगा पर मा नही आयेगी पप्पू के साथ नानी के घर चले जाना,0
"बॉलीवुड से सिर्फ कंगना ही हिंसा के विरुद्ध मुखरता से बोल रही हैं।  बाकियों के लिए मुद्दा तब बनता है जब मसला  तबरेज, पहलू या अखलाक"" का हो।   बंद करो इन संवेदनहीन भांडों की फिल्में देखना 😡 #BengalBurning ☹️☹️",1,HATE,बॉलीवुड से सिर्फ कंगना ही हिंसा के विरुद्ध मुखरता से बोल रही हैं बाकियों के लिए मुद्दा तब बनता है जब मसला तबरेज पहलू या अखलाक का हो बंद करो इन संवेदनहीन भांडों की फिल्में देखना,1
"RT @AnantGJ: ""एक मोदी के पीछे सारी दुनिया हाथ धोकर पड़ गई है. मतबल साफ़ है बंदे में सिर्फ़ दम ही नहीं, सारी दुनिया को अपने पीछे नचाने की ता…",0,NONE,एक मोदी के पीछे सारी दुनिया हाथ धोकर पड़ गई है मतबल साफ़ है बंदे में सिर्फ़ दम ही नहीं सारी दुनिया को अपने पीछे नचाने की ता,0
"RT @Diva_Rizvi: यह तस्वीर मे दिए गए बेचारे दोनों अंधभक्ति में @TajinderBagga से मुकाबला करना चाह रहे हैं

अरे गंवारों तुम अंधभक्ति दिखाते…",1,OFFN,यह तस्वीर मे दिए गए बेचारे दोनों अंधभक्ति में से मुकाबला करना चाह रहे हैं अरे गंवारों तुम अंधभक्ति दिखाते,1
