Post,Labels Set,Dataset,Processed_Post
@laxmansingh1663 @SandeepNews_ अतिसुंदर कांड,0,hate_bin_train,अतिसुंदर कांड
आज@Dev_Fadnavis ला कोर्टात हजर राहाव लागल. .त्याची अगदी पेठेत सुद्धा तुपकट प्रतिक्रिया आली नाही. गुजराती शेटने बसवलेल्या चवन्नीछाप बोलक्या बाहुल्याची हीच लायकी,1,hate_bin_train,आज ला कोर्टात हजर राहाव लागल त्याची अगदी पेठेत सुद्धा तुपकट प्रतिक्रिया आली नाही गुजराती शेटने बसवलेल्या चवन्नीछाप बोलक्या बाहुल्याची हीच लायकी
@cricbuzz अरे नागपूर ला घ्यायची होती न एखाद मॅच 🤬,0,hate_bin_train,अरे नागपूर ला घ्यायची होती न एखाद मॅच
@MLARajanSalvi @rautsanjay61 चुतीया... हा शब्द शिवसैनिकांसाठी सुसंस्कृत आहे वाटत😂,1,hate_bin_train,चुतीया हा शब्द शिवसैनिकांसाठी सुसंस्कृत आहे वाटत
अबे चुतीया एव्हडा मराठी द्वेष का?? तुमच्या घरी काय भैया आलेला की घरातले भैयाकडे गेलते..थोडी लाज बाळगा...भडवीच्यानो...😡😡😡😡😡😡,1,hate_bin_train,अबे चुतीया एव्हडा मराठी द्वेष का तुमच्या घरी काय भैया आलेला की घरातले भैयाकडे गेलतेथोडी लाज बाळगाभडवीच्यानो
"भारतीय पोलीस सेवेतील परिविक्षाधीन अधिकाऱ्यांनी सदिच्छा भेट घेतली. महाराष्ट्र पोलीस दलाची शान वाढवण्याची, प्रतिष्ठा जपण्याची, प्रतिमा उंचावण्यासाठी कार्यरत राहून महाराष्ट्र पोलीस दलाचं वैभव समृध्द करण्याचं आवाहन यावेळी अधिकाऱ्यांना केलं.  https://t.co/dndhJU3pR0",0,hate_bin_train,भारतीय पोलीस सेवेतील परिविक्षाधीन अधिकाऱ्यांनी सदिच्छा भेट घेतली महाराष्ट्र पोलीस दलाची शान वाढवण्याची प्रतिष्ठा जपण्याची प्रतिमा उंचावण्यासाठी कार्यरत राहून महाराष्ट्र पोलीस दलाचं वैभव समृध्द करण्याचं आवाहन यावेळी अधिकाऱ्यांना केलं
उद्धव ठाकरे सरकार ने केंद्राचे काम आणि कर्तव्य सुद्धा  कोरोणा काळात पार पडलीत.आणि म्हणूनच who ने सुद्धा पाठ थोपटली आणि धारावी मॉडेल जगाने अवलंबली ...काम केलं तर नावावर मांडतील सुद्धा.त्यामुळे जावडे काढण्याचे काम करू नये जवडेकरांनी.,0,hate_bin_train,उद्धव ठाकरे सरकार ने केंद्राचे काम आणि कर्तव्य सुद्धा कोरोणा काळात पार पडलीतआणि म्हणूनच ने सुद्धा पाठ थोपटली आणि धारावी मॉडेल जगाने अवलंबली काम केलं तर नावावर मांडतील सुद्धात्यामुळे जावडे काढण्याचे काम करू नये जवडेकरांनी
"आज फणसोफ हायस्कुल ते कसोप धार रस्ता ( रत्नागिरी ) भूमिपूजन सोहळा माझ्या प्रमुख उपस्थितीत संपन्न झाला. यावेळी, जिल्हा परिषद सदस्य बाबूशेठ म्हाप, राहुल पंडित, नंदा मुरकर, बाबा साळवी, राकेश साळवी, तुषार साळवी व संबंधित उपस्थित होते.  https://t.co/LJpkTUSMCv",0,hate_bin_train,आज फणसोफ हायस्कुल ते कसोप धार रस्ता रत्नागिरी भूमिपूजन सोहळा माझ्या प्रमुख उपस्थितीत संपन्न झाला यावेळी जिल्हा परिषद सदस्य बाबूशेठ म्हाप राहुल पंडित नंदा मुरकर बाबा साळवी राकेश साळवी तुषार साळवी व संबंधित उपस्थित होते
देशा पेक्षा काहीही मोठं नसत #भारत #मी_भारतीय,0,hate_bin_train,देशा पेक्षा काहीही मोठं नसत भारत मीभारतीय
सचिन-सेहवागची जोडी पुन्हा मैदानात उतरणार; भारत-पाकिस्तानमध्ये होणार सामना https://t.co/eYEaeMXTPq,0,hate_bin_train,सचिनसेहवागची जोडी पुन्हा मैदानात उतरणार भारतपाकिस्तानमध्ये होणार सामना
@ShrimantManey काय करायचं असल्या खुळचट लोकांचं जे स्वतः च्या पक्षात योग्य उमेदवार नाही देऊ शकत आणि नंतर समजतं ज्याला पक्षात घेतला तो डमी उमेदवार निघाला. कठीण आहे सर्व.,1,hate_bin_train,काय करायचं असल्या खुळचट लोकांचं जे स्वतः च्या पक्षात योग्य उमेदवार नाही देऊ शकत आणि नंतर समजतं ज्याला पक्षात घेतला तो डमी उमेदवार निघाला कठीण आहे सर्व
@Shaikh_Mohsin12 @TV9Marathi मूर्ख आहेत हे मीडिया वाले.,1,hate_bin_train,मूर्ख आहेत हे मीडिया वाले
हेच खरे माझे कुटुंब माझी जबाबदारी अभियान..,0,hate_bin_train,हेच खरे माझे कुटुंब माझी जबाबदारी अभियान
"मुंबई शहर व उपनगरांच्या विकासकामांमध्ये मुंबई-मीरा-भाईंदर येथील कनेक्टिव्हिटी वाढविणे, महत्त्वाचे आहे. त्यासाठी @mybmc दहिसर लिंक रोडपासून भाईंदरपर्यंत ६ किमी लांब आणि ४५ मीटर रुंद रस्ता बांधणार आहे. MCGM च्या हद्दीत १.५ किमी व ४.५ किमी रस्ता मीरा भाईंदर पालिकेकडे असेल.",0,hate_bin_train,मुंबई शहर व उपनगरांच्या विकासकामांमध्ये मुंबईमीराभाईंदर येथील कनेक्टिव्हिटी वाढविणे महत्त्वाचे आहे त्यासाठी दहिसर लिंक रोडपासून भाईंदरपर्यंत ६ किमी लांब आणि ४५ मीटर रुंद रस्ता बांधणार आहे च्या हद्दीत १५ किमी व ४५ किमी रस्ता मीरा भाईंदर पालिकेकडे असेल
@VarshaEGaikwad येडझव्या भोकाची,1,hate_bin_train,येडझव्या भोकाची
"ये सरक , सरक झवण्या",1,hate_bin_train,ये सरक सरक झवण्या
"एकमेकास साह्य करू, अवघे धरू सुपंथ",0,hate_bin_train,एकमेकास साह्य करू अवघे धरू सुपंथ
अदानी आणि अंबनीला ईमान विकलेल्या फालतू बातमी चॅनल ने जे कालपासून एका कर्तव्यदक्ष आणि धडाकेबाज पोलिस अधिकाऱ्याच्या बदनामीचा जो रतीब लावला आहे तो किती वायफळ आणि भंकस आहे हे त्या पोलिस अधिकाऱ्याची एकूण कामगिरी व पुरस्कार बघितलं तर दातखीळ बसेल,0,hate_bin_train,अदानी आणि अंबनीला ईमान विकलेल्या फालतू बातमी चॅनल ने जे कालपासून एका कर्तव्यदक्ष आणि धडाकेबाज पोलिस अधिकाऱ्याच्या बदनामीचा जो रतीब लावला आहे तो किती वायफळ आणि भंकस आहे हे त्या पोलिस अधिकाऱ्याची एकूण कामगिरी व पुरस्कार बघितलं तर दातखीळ बसेल
@tanmay_sabnis @BhatkhalkarA मुघलांचे 100 पिढ्यांपूर्वी जे पूर्वज उझबेकिस्तान येथे जंगली प्राण्यांचे जीवन जगत होते तेव्हा भारतात अयोध्या ते रामेश्वरम् असे एकच संस्कृतीत बांधलेले राष्ट्र निर्माण होऊन गेले होते. भारत हा शब्दच मुळात भरत वंशीय राजांनी एकसंध केलेल्या राष्ट्राला उद्देशून आहे.,0,hate_bin_train,मुघलांचे पिढ्यांपूर्वी जे पूर्वज उझबेकिस्तान येथे जंगली प्राण्यांचे जीवन जगत होते तेव्हा भारतात अयोध्या ते रामेश्वरम् असे एकच संस्कृतीत बांधलेले राष्ट्र निर्माण होऊन गेले होते भारत हा शब्दच मुळात भरत वंशीय राजांनी एकसंध केलेल्या राष्ट्राला उद्देशून आहे
भारतीय जनता युवा मोर्चाच्या मागणीला यश  भारतीय जनता युवा मोर्चाच्या आक्रमक पवित्र्यामुळे राज्य सरकारला जिम उघडण्याबाबत सकारात्मक विचार करावा लागला. @TimesNow @ivikrantpatil @ChDadaPatil @Dev_Fadnavis @PharandeDevyani @CMOMaharashtra @OfficeofUT @DrBharatippawar @PravinAlai  https://t.co/qY3jmU5g87,0,hate_bin_train,भारतीय जनता युवा मोर्चाच्या मागणीला यश भारतीय जनता युवा मोर्चाच्या आक्रमक पवित्र्यामुळे राज्य सरकारला जिम उघडण्याबाबत सकारात्मक विचार करावा लागला
@fadnavis_amruta आपल्यालाही मकर संक्रांतीच्या हार्दिक शुभेच्छा! #मकरसंक्रांत,0,hate_bin_train,आपल्यालाही मकर संक्रांतीच्या हार्दिक शुभेच्छा मकरसंक्रांत
"गुरू ब्रह्मा गुरू विष्णु, गुरु देवो महेश्वरा गुरु साक्षात परब्रह्म, तस्मै श्री गुरुवे नमः",0,hate_bin_train,गुरू ब्रह्मा गुरू विष्णु गुरु देवो महेश्वरा गुरु साक्षात परब्रह्म तस्मै श्री गुरुवे नमः
"सर्वात जास्त जाती विषयी बोलणारे कोण तर, टिव्ही वाले, सेक्युलर चा बुरखा पांघरून हिंडणारे. खोट वाटत असेल तर न्युज चॅनेल बघा.... मला माहितच नव्हते की इतक्या जाती पोट जाती असतात...... धन्यवाद मिडिया..",1,hate_bin_train,सर्वात जास्त जाती विषयी बोलणारे कोण तर टिव्ही वाले सेक्युलर चा बुरखा पांघरून हिंडणारे खोट वाटत असेल तर न्युज चॅनेल बघा मला माहितच नव्हते की इतक्या जाती पोट जाती असतात धन्यवाद मिडिया
"दानशूर, कर्तृत्ववान, धर्मपरायण, युद्धनिती तसेच प्रशासकीय कामात पारंगत असलेल्या पहिल्या भारतीय राज्यकर्त्या #पुण्यश्लोक राजमाता #अहिल्यादेवी_होळकर यांना आज स्मृतिदिनी कोटी कोटी प्रणाम!  #राजमाता #अहिल्यादेवी_होळकर_पुण्यतिथी  https://t.co/5DadgYs4uF",0,hate_bin_train,दानशूर कर्तृत्ववान धर्मपरायण युद्धनिती तसेच प्रशासकीय कामात पारंगत असलेल्या पहिल्या भारतीय राज्यकर्त्या पुण्यश्लोक राजमाता अहिल्यादेवीहोळकर यांना आज स्मृतिदिनी कोटी कोटी प्रणाम राजमाता अहिल्यादेवीहोळकरपुण्यतिथी
समाजवादी सांड भिडंत योजना,1,hate_bin_train,समाजवादी सांड भिडंत योजना
नाशिक : गंगापूर धरण ६७ टक्के; तर भावली १०० टक्के भरले | Deshdoot  https://t.co/5WE6uff4cP,0,hate_bin_train,नाशिक गंगापूर धरण ६७ टक्के तर भावली १०० टक्के भरले
@ObedPwg ये लवड्या तुझ्या गांडीत बुल्ला घालू का डेगण्या।।।,1,hate_bin_train,ये लवड्या तुझ्या गांडीत बुल्ला घालू का डेगण्या
"@DrDineshkaste @BJP4Maharashtra @OfficeofUT @ShivSena लांडया टिपूच्या अवलादा, त्या घरकोंबड्याने महाराष्ट्र तर उध्वस्त केलाच आहे",1,hate_bin_train,लांडया टिपूच्या अवलादा त्या घरकोंबड्याने महाराष्ट्र तर उध्वस्त केलाच आहे
"@BhalgatiyasAk @BhaiJagtap1 मी माझ्या बापाचाच आहे पण तू कोणाच्या लवड्याचा आहे,नाजयच साला आईघाल्या तू भक्तच राहशील आणि शेवटपर्यंत बोट घालून वास घेत राहशील हाफ चड्डीचा🤣🤣🤣",1,hate_bin_train,मी माझ्या बापाचाच आहे पण तू कोणाच्या लवड्याचा आहेनाजयच साला आईघाल्या तू भक्तच राहशील आणि शेवटपर्यंत बोट घालून वास घेत राहशील हाफ चड्डीचा
"आता कांही सेलिब्रिटींना कोरोना होईल, मीडियात दाखवले जाईल, सामान्य जनता घाबरेल मग भांडवलदार आणि राज्यकर्त्यांची चंगळ ! कोरोनावर मजबूत व्यायाम, मजबूत आहार, मजबूत झोप आणि सकारात्मक दृष्टिकोन हाच उत्तम उपाय ! https://t.co/dBGJ82rtqc",0,hate_bin_train,आता कांही सेलिब्रिटींना कोरोना होईल मीडियात दाखवले जाईल सामान्य जनता घाबरेल मग भांडवलदार आणि राज्यकर्त्यांची चंगळ कोरोनावर मजबूत व्यायाम मजबूत आहार मजबूत झोप आणि सकारात्मक दृष्टिकोन हाच उत्तम उपाय
@thatPunekar @PrashantMasra11 जुतीया संबोधून मुंब्र्याच्या चुतीया चा अपमान करू नका 😜,1,hate_bin_train,जुतीया संबोधून मुंब्र्याच्या चुतीया चा अपमान करू नका
"ह्या सर्व घटनांमधे आतंकवाद्यांचाच सहभाग आहे की #पुलवामा प्रमाणे इथेही #भाजप चाच हात आहे हे शोधावं लागलं. UP मधे भाजपच्या विरोधात वातावरण निर्माण झालंय, निवडणूक जिंकण्यासाठी एखादी एयर स्ट्राईक करवावी लागेल आणि त्याच पार्श्वभूमीवर ह्या घटना पूर्वतयारी म्हणून करवत असतील हे संघी! #म",0,hate_bin_train,ह्या सर्व घटनांमधे आतंकवाद्यांचाच सहभाग आहे की पुलवामा प्रमाणे इथेही भाजप चाच हात आहे हे शोधावं लागलं मधे भाजपच्या विरोधात वातावरण निर्माण झालंय निवडणूक जिंकण्यासाठी एखादी एयर स्ट्राईक करवावी लागेल आणि त्याच पार्श्वभूमीवर ह्या घटना पूर्वतयारी म्हणून करवत असतील हे संघी म
