GENERIC CATEGORIES,CATEGORY,SUB-CATEGORY,PRODUCT,BRAND,ASPECTS,ASPECT COMBO,LABEL,INDIC REVIEW
Entertainment,Amusement,Parks,For children,IISER Children's Park,"entry price, rides and attractions, developmental activities,Play area,maintenance",Entry,Negative,आय.आय.एस.ई.आर. (IISER) आणि सी.एस.आय.आर. (CSIR) च्या कमर्चार्‍यांच्या मुलांसाठी राखून ठेवलेली खेळायची जागा.
Health/Wellness,Living,Stay/ Experience,Homestay,Orchards House - The Hidden Tribe (Manali),"Friendly hosts, homely food, ambience, calm and serene, location, safety, TV, AC/non AC, wifi, parking, affordable rates","Friendly hosts, ambience, wifi, affordable rates",Positive,"होस्ट खूप चांगले होते आणि वातावरण अतिशय सुंदर होते, संपूर्ण जागेतून पर्वताचे मनोहर दृश्य दिसते आणि सभोवताली चेरी आणि सफरचंदाची झाडे आहेत. संपूर्ण जागेत मोफत वायफाय उपलब्ध आहे आणि दर परवडण्याजोगे आहेत."
Office,Furniture,Seating,Ergotouch chairs,Apex,"lumbar support, cushioning, durability, cost, revolving, net and metal Add: back rest recline, squeaky sounds, looks, ","Headrest, looks",Positive,"""या किंमतश्रेणीतील खुर्च्यांसाठी अ‍ॅडजस्ट करता येण्याजोगे हेडरेस्ट्स देणाऱ्या अगदी मोजक्या ब्रँड्सपैकी एक. किंमत कमी आहे, पण लुक आणि फील प्रीमियम आहे."""
Hobbies,Photography,Camera accessories,Batteries and chargers,PhotoCare Foton NP-BX 2,"capacity, rechargeable, smart IC, BIS certified, safe, battery life","BIS certified, smart IC",Negative,BIS प्रमाणपत्र आणि स्मार्ट IC बद्दल कोणतेही अभिप्राय नाहीत.
Building Material,Construction,Binding material,Cement,Rapid Hardening Cement,"fineness, strength, durability, resistance to wet and thermal cracking, cost, application, storage, setting time",Resistance to thermal cracking,Negative,"हायड्रेशनच्या मोठ्या प्रमाणात उष्णतेमुळे हे सिमेंट मोठ्या प्रमाणावरील काँक्रीटींगसाठी वापरले जात नाही, कॉंक्रिटच्या आतील तापमान वाढते ज्यामुळे भेगा तयार होतात."
Entertainment,Movies,Genres,Science-fiction,Krish,"superhero, masterpiece, amazing, genius, settings and visual effects, intriguing, phenomenal, stupenduous characters",Superhero,Positive,भारतीय सुपरहिरो! कौतुकास्पद कामगिरी!
Entertainment,Movies,Genres,Family Drama,Family Camp,"entertaining, family values, relatable characters, story-line, star cast, melodrama, enjoyable","Relatable Characters, enjoyable, entertaining",Positive,मला हा चित्रपट खूप आवडला. एक चित्रपटप्रेमी आणि एक ख्रिश्चन या नात्याने मला हा चित्रपट संबंधित आणि मनोरंजक वाटला.
Food,Grocery,"Flours , food grains, dals and pulses",whole wheat atta,Laxmi bhog atta,"chakki atta, no additives, fiber rich","Chakki atta, no additives",Positive,लक्ष्मी भोग आटा चक्कीच्या ताज्या आट्यासारखा वाटतो.
SPORTS/GAMES,Equipment,badminton,shuttlecock,Cosco Aero 727 Shuttlecock Nylon,"durable, feather/plastic skirt,user comfort at impact, control, foam tip/cork, price",form tip,Positive,"हे कॉस्कोचं फोमचं टोक असलेलं, परवडणाऱ्या किमतीला बरंच चांगल्या दर्जाचं शटल आहे. हे किशोरवयीन आणि नवशिक्या लोकांसाठी आहे."
Entertainment,Apps,Entertainment,Music apps,Wynk music,"offline downloads, high quality audio, official albums, recommendations based on taste, location and time of the day, ads, listening with the screen off",Recommendations based on taste,Positive,अॅप आपल्या आवडीच्या आणि आपण सध्या ऐकत असलेल्या गाण्याच्या आधारे चांगले गाणे सुचवते.
