GENERIC CATEGORIES,CATEGORY,SUB-CATEGORY,PRODUCT,BRAND,ASPECTS,ASPECT COMBO,LABEL,INDIC REVIEW
Entertainment,Amusement,Parks,For children,IISER Children's Park,"entry price, rides and attractions, developmental activities,Play area,maintenance",Entry,Negative,শুধুমাত্র আইআইএসইআর এবং সিএসআইআর কর্মীদের সন্তানদের জন্য সীমিত খেলার জায়গা।
Health/Wellness,Living,Stay/ Experience,Homestay,Orchards House - The Hidden Tribe (Manali),"Friendly hosts, homely food, ambience, calm and serene, location, safety, TV, AC/non AC, wifi, parking, affordable rates","Friendly hosts, ambience, wifi, affordable rates",Positive,হোস্টরা অসাধারণ ছিল এবং চেরি এবং আপেল গাছ দ্বারা পরিবেষ্টিত পুরো সম্পত্তি থেকে পর্বত দৃশ্যের সাথে পরিবেশটি খুবই সুন্দর। ফ্রি ওয়াইফাইও পুরো জায়গা জুড়ে পাওয়া যায় এবং দামও সাশ্রয়ী।
Office,Furniture,Seating,Ergotouch chairs,Apex,"lumbar support, cushioning, durability, cost, revolving, net and metal Add: back rest recline, squeaky sounds, looks, ","Headrest, looks",Positive,"'এই মূল্য সীমার মধ্যে চেয়ারগুলির জন্য সামঞ্জস্যযোগ্য হেডরেস্ট রয়েছে। এই মূল্যে খুব কম ব্রান্ডই এই সুবিধা প্রদান করে। কম দাম থাকা সত্ত্বেও, একটি প্রিমিয়াম লুক এবং অনুভূতি দেয়। """
Hobbies,Photography,Camera accessories,Batteries and chargers,PhotoCare Foton NP-BX 2,"capacity, rechargeable, smart IC, BIS certified, safe, battery life","BIS certified, smart IC",Negative,বিআইএস সার্টিফিকেশন এবং স্মার্ট আইসি সম্পর্কে কোন পর্যালোচনা নেই
Building Material,Construction,Binding material,Cement,Rapid Hardening Cement,"fineness, strength, durability, resistance to wet and thermal cracking, cost, application, storage, setting time",Resistance to thermal cracking,Negative,"প্রচুর পরিমাণে হাইড্রেশনের তাপের কারণে এই সিমেন্টটি ভর কংক্রিট করার জন্য ব্যবহার করা হয় না, কঙ্ক্রিটের অভ্যন্তরে তাপমাত্রা বৃদ্ধি পায় যা ক্র্যাকিং গঠনের দিকে পরিচালিত করে।"
Entertainment,Movies,Genres,Science-fiction,Krish,"superhero, masterpiece, amazing, genius, settings and visual effects, intriguing, phenomenal, stupenduous characters",Superhero,Positive,ভারতীয় সুপারহিরো! প্রশংসনীয় কাজ!
Entertainment,Movies,Genres,Family Drama,Family Camp,"entertaining, family values, relatable characters, story-line, star cast, melodrama, enjoyable","Relatable Characters, enjoyable, entertaining",Positive,"এই সিনেমাটি আমার খুব ভালো লেগেছে। একজন চলচ্চিত্রপ্রেমী এবং একজন খ্রিস্টান হিসেবে, আমি এই চলচ্চিত্রকে প্রাসঙ্গিক এবং বিনোদনমূলক বলে মনে করি।"
Food,Grocery,"Flours , food grains, dals and pulses",whole wheat atta,Laxmi bhog atta,"chakki atta, no additives, fiber rich","Chakki atta, no additives",Positive,লক্ষ্মীভোগ আটাতে চাক্কিতে পেষার সেই তাজা অনুভূতি রয়েছে।
SPORTS/GAMES,Equipment,badminton,shuttlecock,Cosco Aero 727 Shuttlecock Nylon,"durable, feather/plastic skirt,user comfort at impact, control, foam tip/cork, price",form tip,Positive,এটি কোস্কো থেকে বেশ ভালো মানের একটি শাটল যার সাথে সুলভ মূল্যে ফোম টিপ রয়েছে। টিনএজার এবং স্টার্টারদের জন্য এটি তৈরি করা হয়েছে।
Entertainment,Apps,Entertainment,Music apps,Wynk music,"offline downloads, high quality audio, official albums, recommendations based on taste, location and time of the day, ads, listening with the screen off",Recommendations based on taste,Positive,অ্যাপটি আমাদের মিউজিক টেস্ট স্বাদ এবং আমরা বর্তমানে যে গানটি শুনছি তার ভিত্তিতে দুর্দান্ত গানের পরামর্শ দেয়।
Hobbies,Photography,Camera accessories,Light box,Osaka,"portable, wide application, filter harmful lighting, material, lighting",Portable,Positive,হুক এবং লুপ ডিজাইন সহজেই সেট আপ এবং বহন করা যায়।
Building Material,Construction,Binding material,Cement,Super Sulphated Portland Cement,"fineness, strength, durability, resistance to wet and thermal cracking, cost, application, storage, setting time",Resistance to wet,Positive,এসএসপিসি দিয়ে তৈরি কঙ্ক্রিটের জল প্রতিরোধ ক্ষমতা ওপিসির তুলনায় বেশি।
Hobbies,Photography,Camera accessories,Flash accessories,Hiffin HF,"diffuser, modifier, battery, material",Diffuser,Negative,এসেম্বলিতে সমস্যা এবং ক্লথ হুড যথেষ্ট ছিল না এবং তা নিম্নমানের।
Education,Books,Audiobooks,Duet narration,Spotify,"voice, acting, modulation, pitch, sound quality, SYNCHRONIZATION, Synchronization(offline availibility)",Acting,Negative,চরিত্রের আচরণের পরিবর্তন স্পটিফাই-এর গল্পগুলিতে স্মুথ নয়। স্টোরিটি সহজে ফ্লো করার জন্য ন্যারেটরকে অভিনয় দক্ষতার উপর সত্যিই কাজ করতে হবে।
Entertainment,Apps,Entertainment,Podcasts,Google Podcasts,"free-trial, offline access, recommendation based on interests, popular and trending shows in comedy, news, sports and more",Recommendations based on interests,Negative,সুপারিশের বৈশিষ্ট্যটি এতটাই খারাপ যে আমি বুঝতে পারছি না যে তারা আমার আগ্রহগুলি সম্পর্কে জানছে কথা থেকে৷এটা পুরো ভুল!
Entertainment,Amusement,Parks,For children,ISKCON NVCC Kids Play Area,"entry price, rides and attractions, developmental activities,Play area,maintenance",Play Area,Negative,খুব ভিড়ের জায়গা!
Pets,Dogs,Supplies,Dog apparels,KUTKUT,"dress/shirt, soft breathable material, half sleeves/sleeveless, pet comfortable raincoat with detachable hood",deformed,Negative,ধোয়ার পর এর আকার পরিবর্তন হয়।
Entertainment,Movies,Genres,Documentary,Michael Jackson's This Is It,"emotional, educative, awe-inspiring, motivating, interesting, detailed narration, informative, heart touching, factual accuracy",Factual accuracy,Negative,এমজে-এর জীবনের সুপরিচিত ঘটনাগুলি এতটাই হেরফের করা হয়েছে যে এখন এমজে-এর মিউজিক ফলোয়াররা তা বুঝতে পারে।
Pets,Dogs,Supplies,Collars,Foodie Puppies,"leather/nylon, half chain half choker, design, waterproof, adjustable, metal buckle","Material, Buckle",Positive,"এটি আরামদায়ক এবং উচ্চ-মানের, শক্তিশালী এবং পরিধানযোগ্য উপাদান রয়েছে। কুকুরের বাচ্চার ত্বকের জন্য এই ডগ কোলাগুলি নিখুঁত, যা অপ্রয়োজনীয় টাইটনিং এবং চুলকানি বা র্যাশ প্রতিরোধ করে। সহজে অন এবং অফ করা বাকলের সাথে।"
Health/Wellness,Food,Eats/Beverages,Bakery,Mrs Magpie (Keyatala),"Tasty cakes, pastry, online booking and home delivery, signature foods, delicious, variety, service time, fresh, price","Tasty cakes, pastry, delicious",Positive,কেক এবং পেস্ট্রিগুলি সুস্বাদু এবং তরতাজা। দুর্দান্ত স্বাদ এবং টেক্সচার সহ বিভিন্ন আইটেম।
Entertainment,Movies,Genres,Fantasy,Mowgli: Legend of the Jungle,"CGI and visual effects, screenplay adaptation, whimsical score, enchanting characters, magical,",Screenplay adaptations,Negative,"এখানে একটি হরিণকে হত্যা করার পরে কিভাবে তার জীবন বেরিয়ে যাচ্ছে তা দেখানো হয়েছে, এখানে অন্ধকার, বিষণ্ণতা, অভিযযোজনের কথা উঠে এসেছে। এটি বাচ্চাদের জন্য নয়, যদি না আপনি চান যে আপনার বাচ্চারা এটি দেখে হতাশাগ্রস্ত হোক।"
Health/Wellness,Living,Stay/ Experience,Homestay,Vikkyz Homestay (Darjeeling),"Friendly hosts, homely food, ambience, calm and serene, location, safety, TV, AC/non AC, wifi, parking, affordable rates","Friendly hosts, calm and serene, location, wifi",Positive,"হোস্ট অত্যন্ত বন্ধুত্বপূর্ণ এবং সহায়ক, জায়গাটি দার্জিলিং এর মূল বাজার থেকে কিছুটা দূরে এবং তাই শান্ত ও নির্মল। অবস্থানটিও ভাল, ঘুম স্টেশন থেকে মাত্র 5 মিনিট হাঁটা দূরত্বে এবং ওয়াইফাই সংযোগও ঠিক কাজ করে।"
Education,Books,Audiobooks,Full cast narration,BBC Sounds,"voice, acting, modulation, pitch, sound quality, cinematic feeling",cinematic feeling,Positive,যে কোন অ্যাপ্লিকেশনে শোনা সেরা অডিওবুক। প্রতিটি জন্য সুন্দর সিনেমাটিক অনুভূতি নিয়ে রোমাঞ্চকর উপন্যাস আমি এ পর্যন্ত শুনেছি।
Entertainment,Movies,Genres,Fantasy,Jumanji: Welcome to the Jungle,"CGI and visual effects, screenplay adaptation, whimsical score, enchanting characters, magical,","Magical, CGI and Visual Effects",Positive,কি সুন্দর একটি ম্যাজিক্যাল রিফ্রেশিং মুভি। সিজিআই ও স্পেশাল এফেক্টসের মাধ্যমে কি সুন্দর প্রাকৃতিক দৃশ্য ও সুন্দর পরিবেশ দেখানো হয়েছে।
Entertainment,Movies,Genres,Documentary,1232 KMS,"emotional, educative, awe-inspiring, motivating, interesting, detailed narration, informative, heart touching, factual accuracy","emotional, detailed narration, factual accuracy",Positive,লকডাউনের অজানা তথ্যগুলিকে বিশদ বিবরণের সাথে তুলে ধরা হয়েছে। শ্রমের একটি আবেগগতভাবে যাত্রা
Education,Books,Children's book,Comics,Tinkle,"pictures, cartoon characters, Comic strips, Short stories, colourful, fables, fairy tales, puzzles","Short stories, colourful",Positive,"ছোটগল্প পড়া তাদের মধ্যে পড়ার অভ্যাস গড়ে তুলতে সাহায্য করে, ইংরেজি ভাষার ওপর কমান্ড উন্নত করতে সাহায্য করে। বইটি বেশ রঙিন ও আকর্ষণীয়"
Home,Appliances,Air cooler,Tower air cooler,Cello,"sleek and elegant, height, cool tank capacity, controller type, looks, blower",Controller Type,Negative,"সেলো তাদের নতুন মডেলের টাওয়ার এয়ার কুলারে আর্দ্রতা নিয়ন্ত্রণকারী যন্ত্র সরবরাহ করছে। কিন্তু নিয়ন্ত্রকের মান খুবই খারাপ, তাই এটি সবসময় একই ধরনের ঠান্ডা বাতাস দেয়।"
Building Material,Construction,Binding material,Cement,Rapid Hardening Cement,"fineness, strength, durability, resistance to wet and thermal cracking, cost, application, storage, setting time",Strength,Positive,আরএইচসি-র 1 দিনের স্ট্রেন্থ ওপিসি-র 3 দিনের স্ট্রেন্থের সমান এবং আরএইচসি-র 3 দিনের স্ট্রেন্থ ওপিসি-র 7 দিনের স্ট্রেন্থের সমান।
Hobbies,Cycling,Bicycles,mountain bikes,GT,"suspension, gears, warranty, ergofit, frame, mudguards, cost, lightwieght, parts availibility",lightwieght,Negative,"স্টক উপাদানগুলি সেরা নয়, এছাড়াও তারা একটু ভারী দিকে রয়েছে।"
Entertainment,Movies,Genres,Action,Morbius,"action-packed, dangerous stunts, adventure, exciting, realistic fighting scenes, energetic performance","Action-Packed, adventure, exciting",Positive,"অবিশ্বাস্য অ্যাকশন, উত্তেজনাপূর্ণ ভিজ্যুয়াল এবং অ্যাডভেঞ্চারসহ ফোরজা ফ্র্যাঞ্চাইজিটি সত্যিই সেরা। অ্যামোরবাস সত্যিই আপনাকে দেখায় যে 308 নেগ্রা অ্যারোয়ো লেনে বসবাসকারী ওয়াল্টার হোয়াইট কীভাবে কোকেইন রান্না করে এবং কিভাবে স্টেজ 4 টার্মিনাল ক্যান্সারে আক্রান্ত হন।"
Food,Grocery,Biscuits and Cookies,salted biscuits,Parle Monaco salted biscuits,"crispy, light snack, sweet and salt, easy to digest, no artificial colour","Crispy, no artificial colour, quantity, light snack",Positive,মোনাকো বিস্কুট খুব খাস্তা। বিস্কুটের পকেট-ফ্রেন্ডলি দামের মতো পরিমাণটাও ভাল।
Pets,Dogs,Supplies,Dog carriers,MidWest Homes for Pets,"hard sided/soft sided, two door top load, portable folding, airlines approved, breathable mesh panel",sharp edges,Negative,দরজা খোলার জায়গায় তারের প্রান্তগুলিতে খুব ধারালো ধার রয়েছে যা পোষা প্রাণীকে আঘাত করতে পারে।
SPORTS/GAMES,Equipment,badminton,shuttlecock,Yonex Mavis 350 Nylon Shuttlecock,"durable, feather/plastic skirt,user comfort at impact, control, foam tip/cork, price",durable,Positive,"যদি আপনি ভাল খেলেন এবং হার্ডকোর স্ম্যাশিংয়ে না যান তবে এটি সহজেই আপনাকে প্রায় 10 টি গেম ভেঙে না ফেলে শেষ করতে পারে। ভাগ্য যদি আপনার হয়, আপনি সহজেই মাত্র একটি শাটল এবং 5 ঘন্টার সাথে প্রায় 3 ঘন্টার খেলা পেতে পারেন যদি আপনি একটু পরিপাটি এবং টিয়ার কিছু মনে না করেন।"
Education,Books,Audiobooks,Full cast narration,Audible,"voice, acting, modulation, pitch, sound quality, cinematic feeling",Voice,Positive,ক্লাসিক প্যারোট!! পাইরোট ফাইনেস্ট ক্যাসেস- এর অসাধারণ কণ্ঠস্বর খুব সহজেই এটিকে জীবন্ত করে তুলেছে।
Education,Books,Children's book,Painting,Figure Drawing for Kids: A Step-By-Step Guide to Drawing People (Drawing for Kids Ages 9 to 12),"figure drwaing, colouring book, adorable designs, bold thick outlines, Cost/Price, Quality",Figure drawing,Positive,অ্যাঞ্জেলা রিজা একজন অসাধারণ প্রতিভাবান শিল্পী যিনি এই চমৎকার ফিগার ড্রয়িং বইয়ে কারুশিল্পের প্রতি ভালোবাসা শেয়ার করে নিয়েছেন। অনুশীলনগুলি চ্যালেঞ্জিং ও মজার। শুধু শিশুরাই নয় --সব বয়সের শিল্পীদের জন্যই এটি পারফেক্ট
Home,Appliances,Air cooler,Personal air cooler,Hindware,"compact, portable, less energy, less noise, caster wheels, cool tank capacity, controller type, noise level",Cool Tank Capacity,Negative,"এয়ার কুলারের ট্যাঙ্কটি খুবই ছোট, এবং এটি প্রায় 10 লিটার জলও ভর্তি করে না। আমার প্রায় প্রতিদিনই ট্যাঙ্ক রিফিল করতে হয় যা বিরক্তিকর।"
Travel,Bags and luggage,Bags,Handbags,Zara,"leather/foam, everyday use/occassion, washable, no of pockets","Good quality, long lasting and value for money.",Positive,জারার হ্যান্ডব্যাগটি তার মান ও স্থায়িত্বের জন্য বিখ্যাত। এর চামড়া নরম এবং মজবুত। এতে রয়েছে ভালো মানের জিপসহ একাধিক পকেট।
