Post,Labels Set,Category,Dataset,Processed_Post
"শুধু সাব্বির বেয়াদপ না পুরো ক্রিকেট টিমটাই বেয়াদব /বেত্তমিজ .....এই আস্তে , এটা আমার কথা না । এটা ভারতীয় মিডিয়ার কথা । সালার বাঙালি হয়ে বাঙালিকে গাইল্লাইতে ইচ্ছে করে । ভিডিওর শিরোনাম দেখে মনে হয় সানিয়া তাদের খালাম্মা লাগে !! সাব্বির সানিয়াকে কি বলেছে সেটা নিয়ে লাফাচ্ছে , সানিয়া সাব্বিরকে কিবলেছে সেটা বলতেছেন না কেন ?",1,sports,Bengali hate speech ,"শুধু সাব্বির বেয়াদপ না পুরো ক্রিকেট টিমটাই বেয়াদব /বেত্তমিজ .....এই আস্তে , এটা আমার কথা না । এটা ভারতীয় মিডিয়ার কথা । সালার বাঙালি হয়ে বাঙালিকে গাইল্লাইতে ইচ্ছে করে । ভিডিওর শিরোনাম দেখে মনে হয় সানিয়া তাদের খালাম্মা লাগে !! সাব্বির সানিয়াকে কি বলেছে সেটা নিয়ে লাফাচ্ছে , সানিয়া সাব্বিরকে কিবলেছে সেটা বলতেছেন না কেন ?"
বাংলার মাটির মানুষ মিজানুর রহমান,0,religion,Bengali hate speech ,বাংলার মাটির মানুষ মিজানুর রহমান
"টিনের চালে কাওয়া, তুমি আমার শাওয়া",1,celebrity,Bengali hate speech ,"টিনের চালে কাওয়া, তুমি আমার শাওয়া"
জাজদের কে কে ঘন্টা হিসেবে কানে গলায় থাপরাতে চান লাইক দিয়ে বুঝান,0,entertainment,Bengali hate speech ,জাজদের কে কে ঘন্টা হিসেবে কানে গলায় থাপরাতে চান লাইক দিয়ে বুঝান
বেয়াদব,0,"Meme, TikTok and others",Bengali hate speech ,বেয়াদব
নাছিরের পাছায় থুতু ও এক লাথি দিয়ে দল থেকে বের করে দেয়া উচিত।,1,sports,Bengali hate speech ,নাছিরের পাছায় থুতু ও এক লাথি দিয়ে দল থেকে বের করে দেয়া উচিত।
মালে কয কি সারের দুষ নাই ত কে চুদল তোমাকে,1,crime,Bengali hate speech ,মালে কয কি সারের দুষ নাই ত কে চুদল তোমাকে
পাপন শালা তুই এতো লেকচার না দিয়ে বুকে সাহস থাকলে পদত্যাগ কর!! তোকে বাংলাদেশ ক্রির্কেট পরিচালক হিসাবে চাইনা আর ওরা আন্দোলন শুধু ওঁদের জন্য করে নাই সকল ক্রির্কেটারদের জন্য করছে তুই দেশের ক্রির্কেট এরজন্য কি বাহ কতটা করতেছিস সবাই জানে!! তুই সাকিব মুশফিক মিরাজ এবং সবাইকে নিয়ে বাজে খারাপ কথা বলছিস তোকে জুতা পেটা করা উচিৎ কুকুরের দুই নাম্বার বাচ্চা পাপন মাদারিচোদ তুই তোর নিজের পকেট কতটা বরছিস সেটার হিসাব দে আগে পাপন কাক্কু!! নতুন করে ক্রির্কেট পরিচালক গঠন করা হোক এইটা দেশের ক্রির্কেট বক্তদের দাবী!! চোরের মায়ের বড় গলা যেমন তুই পাপন কাক্কু গলা এখন বড় হয়ে গেছে!! বাহিরে দেশে সব খেলায় লাইভে দেখায় আমাদের দেশে কয়টা খোলা লাইভে দেখাই বাহ দিস সেটা বল পাপন কাক্কু!! এতো খেলোয়াড় দের মধ্যে শুধু একটা মাত্র খেলোয়াড় এর কথা বলি!! ইমরুল কায়েস তোর বউ মেয়ের হোগ্ঙা মারছে নাকি নয়তো ওঁকে দলে চান্স দিস না কেন সেটা বল আগে হারামজাদা কুকুরের দুই নাম্বার বাচ্চা পাপন কাক্কু!! 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,1,sports,Bengali hate speech ,পাপন শালা তুই এতো লেকচার না দিয়ে বুকে সাহস থাকলে পদত্যাগ কর!! তোকে বাংলাদেশ ক্রির্কেট পরিচালক হিসাবে চাইনা আর ওরা আন্দোলন শুধু ওঁদের জন্য করে নাই সকল ক্রির্কেটারদের জন্য করছে তুই দেশের ক্রির্কেট এরজন্য কি বাহ কতটা করতেছিস সবাই জানে!! তুই সাকিব মুশফিক মিরাজ এবং সবাইকে নিয়ে বাজে খারাপ কথা বলছিস তোকে জুতা পেটা করা উচিৎ কুকুরের দুই নাম্বার বাচ্চা পাপন মাদারিচোদ তুই তোর নিজের পকেট কতটা বরছিস সেটার হিসাব দে আগে পাপন কাক্কু!! নতুন করে ক্রির্কেট পরিচালক গঠন করা হোক এইটা দেশের ক্রির্কেট বক্তদের দাবী!! চোরের মায়ের বড় গলা যেমন তুই পাপন কাক্কু গলা এখন বড় হয়ে গেছে!! বাহিরে দেশে সব খেলায় লাইভে দেখায় আমাদের দেশে কয়টা খোলা লাইভে দেখাই বাহ দিস সেটা বল পাপন কাক্কু!! এতো খেলোয়াড় দের মধ্যে শুধু একটা মাত্র খেলোয়াড় এর কথা বলি!! ইমরুল কায়েস তোর বউ মেয়ের হোগ্ঙা মারছে নাকি নয়তো ওঁকে দলে চান্স দিস না কেন সেটা বল আগে হারামজাদা কুকুরের দুই নাম্বার বাচ্চা পাপন কাক্কু!! 
এক খাানকি আর তিন খানকির পোলা একজন আলেম কে নিয়ে তামাশা করছে আললা তুমি হুজুরের পাশে থাকো,1,religion,Bengali hate speech ,এক খাানকি আর তিন খানকির পোলা একজন আলেম কে নিয়ে তামাশা করছে আললা তুমি হুজুরের পাশে থাকো
পরীমনি আবাসিক হোটেলে মাগি,1,entertainment,Bengali hate speech ,পরীমনি আবাসিক হোটেলে মাগি
একটি মেয়ে অনেক গুলো ছেলের জিবন। নিয়ে নিল। মিন্নির ফাসি চাই,0,crime,Bengali hate speech ,একটি মেয়ে অনেক গুলো ছেলের জিবন। নিয়ে নিল। মিন্নির ফাসি চাই
বাংলাদেশীরা কাকড়ার জাত।,0,sports,Bengali hate speech ,বাংলাদেশীরা কাকড়ার জাত।
মাদারচোদের আইন,1,crime,Bengali hate speech ,মাদারচোদের আইন
এই মাগীকে কুত্তা দিয়া চুদাতে হবে,1,entertainment,Bengali hate speech ,এই মাগীকে কুত্তা দিয়া চুদাতে হবে
কমেন্ট গুলা সবাই ভালো ভাবেই লেখেছেন পড়ে অনেক ভালো লাগলো,0,religion,Bengali hate speech ,কমেন্ট গুলা সবাই ভালো ভাবেই লেখেছেন পড়ে অনেক ভালো লাগলো
আমার দনটাত ইনচি পারবেনি চুদা লইতে,0,"Meme, TikTok and others",Bengali hate speech ,আমার দনটাত ইনচি পারবেনি চুদা লইতে
হাংকির পুলারে পুটকিমারা হোক,1,sports,Bengali hate speech ,হাংকির পুলারে পুটকিমারা হোক
সালারা চোর,1,sports,Bengali hate speech ,সালারা চোর
জানোআরের বাচ্চা তোরা কী মরবিনা,1,religion,Bengali hate speech ,জানোআরের বাচ্চা তোরা কী মরবিনা
জানোয়ার এর বাইচা,1,crime,Bengali hate speech ,জানোয়ার এর বাইচা
খান্কির পোলা তুই একটা মাসুদা ভাট্টি,1,celebrity,Bengali hate speech ,খান্কির পোলা তুই একটা মাসুদা ভাট্টি
তর মা খানকি তুই খানকি এই কুত্তার বাচ্চাটাকে মেরে ফেলা উচিত,1,entertainment,Bengali hate speech ,তর মা খানকি তুই খানকি এই কুত্তার বাচ্চাটাকে মেরে ফেলা উচিত
সেরা নায়ক আমির খানের নতুন ছবি চাই,0,entertainment,Bengali hate speech ,সেরা নায়ক আমির খানের নতুন ছবি চাই
এই৷ ৷ মাদারচুদের৷৷ জন৷ মানুষ,1,religion,Bengali hate speech ,এই৷ ৷ মাদারচুদের৷৷ জন৷ মানুষ
সবার কপালে যদি এই রকম বউ হয় তাহলে ভালো হতো আমার ভালো লাগলো,0,entertainment,Bengali hate speech ,সবার কপালে যদি এই রকম বউ হয় তাহলে ভালো হতো আমার ভালো লাগলো
খানকি চোদা মাগি তুই কি মা নাকি তুইতো মা নামের কলঙ্ক আবার সন্তানের দোহাই দিচ্ছিস সন্তানের কথা আগে ভাবিস নাই মাগি যে তোর নষ্টামির কারনে তাদের জীবনে কি প্রভাব পরতে পারে । আবার বলছিস সন্তানের মুখের দিকে তাকিয়ে বেচে আছিস । মাগি এখন যে মানুষ তোর সন্তানকে বলবে না যে তোর আসল বাপের নাম কি এর কি গ্যারান্টি আছে,1,crime,Bengali hate speech ,খানকি চোদা মাগি তুই কি মা নাকি তুইতো মা নামের কলঙ্ক আবার সন্তানের দোহাই দিচ্ছিস সন্তানের কথা আগে ভাবিস নাই মাগি যে তোর নষ্টামির কারনে তাদের জীবনে কি প্রভাব পরতে পারে । আবার বলছিস সন্তানের মুখের দিকে তাকিয়ে বেচে আছিস । মাগি এখন যে মানুষ তোর সন্তানকে বলবে না যে তোর আসল বাপের নাম কি এর কি গ্যারান্টি আছে
অদের কে জুতা দিয়ে পিঢাও না কেনো🇧🇩🇸🇦,0,religion,Bengali hate speech ,অদের কে জুতা দিয়ে পিঢাও না কেনো
কুমিল্লা কই,0,"Meme, TikTok and others",Bengali hate speech ,কুমিল্লা কই
"ছবিটা প্রথম দেখি ১৯৯৭ সালে,তখন আমি ক্লাস ফাইভ এ পড়ি,অসাধারণ ছবি",0,entertainment,Bengali hate speech ,"ছবিটা প্রথম দেখি ১৯৯৭ সালে,তখন আমি ক্লাস ফাইভ এ পড়ি,অসাধারণ ছবি"
জাফর ইকবাল মানে ১ বালতি দুধের মধ্যে ১ ফোটা গো-মূত্র।,1,celebrity,Bengali hate speech ,জাফর ইকবাল মানে ১ বালতি দুধের মধ্যে ১ ফোটা গো-মূত্র।
আমাদের জন্য খুব খারাপ খবর সেইটা হল তোর মাকে জনে চোদে চে,0,sports,Bengali hate speech ,আমাদের জন্য খুব খারাপ খবর সেইটা হল তোর মাকে জনে চোদে চে
ওই ভুদার বেটা তুই একটু পর পর এমন বাহ্ বাহ্ চুদাস কেন,1,entertainment,Bengali hate speech ,ওই ভুদার বেটা তুই একটু পর পর এমন বাহ্ বাহ্ চুদাস কেন
"এক জঘন্য জানোয়ার জাফর ইকবাল, তার বাবা মা কি তাকে কোন শিক্ষা দেয় নাই!",0,celebrity,Bengali hate speech ,"এক জঘন্য জানোয়ার জাফর ইকবাল, তার বাবা মা কি তাকে কোন শিক্ষা দেয় নাই!"
"আহা বিনোদন,,",0,celebrity,Bengali hate speech ,"আহা বিনোদন,,"
"<b>;;;;;;এতো দিন এই কথা গুলি কই ছিল,,,আজ বলতে আসলো,,,,আসলে সাব্বির অনেক খারাপ,,তাকে ক্রিকেট থেলে নিষিদ্ধ করা উচিত,,,,,,</b>",0,sports,Bengali hate speech ,"<b>;;;;;;এতো দিন এই কথা গুলি কই ছিল,,,আজ বলতে আসলো,,,,আসলে সাব্বির অনেক খারাপ,,তাকে ক্রিকেট থেলে নিষিদ্ধ করা উচিত,,,,,,</b>"
সালার ডিসি তখন মনে হয় নেশা অবস্থায় ছিলো এই জন্য সিসি ক্যামেরা দেখে নাই,1,crime,Bengali hate speech ,সালার ডিসি তখন মনে হয় নেশা অবস্থায় ছিলো এই জন্য সিসি ক্যামেরা দেখে নাই
জারজ মাদার চোদ,1,sports,Bengali hate speech ,জারজ মাদার চোদ
খানকিরপুলা তুই আগে ঠিক কর🤬🤬🤬,1,religion,Bengali hate speech ,খানকিরপুলা তুই আগে ঠিক কর
গুজব!,0,crime,Bengali hate speech ,গুজব!
স্যার কিছু নরপশু আপনাকে বাজে কমেন্ট করছে / করবে তাতে আপনি মন খারাপ করবেন না আসলে এসব গণ্ডমূর্খ তারা আসলে জানেই না আপনার ব্যস্ততা কতটুকু। আর আপনি কতটা নিরুপায় হয়েও কিশোরদের জন্য কাজ করেন।,0,celebrity,Bengali hate speech ,স্যার কিছু নরপশু আপনাকে বাজে কমেন্ট করছে / করবে তাতে আপনি মন খারাপ করবেন না আসলে এসব গণ্ডমূর্খ তারা আসলে জানেই না আপনার ব্যস্ততা কতটুকু। আর আপনি কতটা নিরুপায় হয়েও কিশোরদের জন্য কাজ করেন।
টাইগারদের জয় সব সময় ।।,0,sports,Bengali hate speech ,টাইগারদের জয় সব সময় ।।
রুমিন ফারজানার সাথে হিন্দু ধর্মের গাধার কথায় শুনে আমি কি জে বোলব বাসা খুঁজে পাই না ওপু কুকিল তুইতো রুমিন ফারজানার জুতার শোমান না ছাগলের সাথে থেকে ছাগলের মতো কথা,1,politics,Bengali hate speech ,রুমিন ফারজানার সাথে হিন্দু ধর্মের গাধার কথায় শুনে আমি কি জে বোলব বাসা খুঁজে পাই না ওপু কুকিল তুইতো রুমিন ফারজানার জুতার শোমান না ছাগলের সাথে থেকে ছাগলের মতো কথা
"বস তুমি থাকবে সারা জীবন মানুষের রিদয়ে,,,,🌰🌽🍔🍗🍖🍖🍅🍆🌽",0,entertainment,Bengali hate speech ,"বস তুমি থাকবে সারা জীবন মানুষের রিদয়ে,,,,"
মুশফিক কোন চেটের বাল,1,sports,Bengali hate speech ,মুশফিক কোন চেটের বাল
আর এপিসোড গুলো কবে দেবেন ??? can&#39;т waιт 😣😣😣😣😣,0,entertainment,Bengali hate speech ,আর এপিসোড গুলো কবে দেবেন ??? can&#39;т waιт 
মিন্নির কোনো অপরাধ দেখা যাচ্ছে না,0,crime,Bengali hate speech ,মিন্নির কোনো অপরাধ দেখা যাচ্ছে না
শালার ধোনে ইট জুলাও,1,crime,Bengali hate speech ,শালার ধোনে ইট জুলাও
তোর মায়ের সাওয়াত হ্লল দিয়ে আমন চোদা দিব পরে র এলা নিউজ বানাবি না মাদ্র্ছদ,1,sports,Bengali hate speech ,তোর মায়ের সাওয়াত হ্লল দিয়ে আমন চোদা দিব পরে র এলা নিউজ বানাবি না মাদ্র্ছদ
এই মাগি,1,crime,Bengali hate speech ,এই মাগি
সব বলদ এসে একগাদা হইছে 😑,0,sports,Bengali hate speech ,সব বলদ এসে একগাদা হইছে 
তোর কপালে জুতা মারি শালার পুত,1,sports,Bengali hate speech ,তোর কপালে জুতা মারি শালার পুত
অপুর কথা বলছেন কই কোথায়ও তো অপু আপু নেই ফালতু,0,politics,Bengali hate speech ,অপুর কথা বলছেন কই কোথায়ও তো অপু আপু নেই ফালতু
শালার বিরুদ্ধে দুদককে লেলিয়ে দিবো।,1,crime,Bengali hate speech ,শালার বিরুদ্ধে দুদককে লেলিয়ে দিবো।
দুধ ধরে টিপ মারলে কি সে দুধ ডেলে দিবে,1,entertainment,Bengali hate speech ,দুধ ধরে টিপ মারলে কি সে দুধ ডেলে দিবে
মা মা মা জতোই করোচ নোয়াখাইলার পেচে পরছো ওরা নার কাডার জাত জাপানি,1,politics,Bengali hate speech ,মা মা মা জতোই করোচ নোয়াখাইলার পেচে পরছো ওরা নার কাডার জাত জাপানি
মাদাচোদ তুই বড় ভন্ড,1,religion,Bengali hate speech ,মাদাচোদ তুই বড় ভন্ড
তুই কি উপস্থাপনা করতে পারস আবাল,0,entertainment,Bengali hate speech ,তুই কি উপস্থাপনা করতে পারস আবাল
সালারে জুতা পেটা করা দরকার,1,crime,Bengali hate speech ,সালারে জুতা পেটা করা দরকার
একদম বেকার,0,entertainment,Bengali hate speech ,একদম বেকার
বেইমানেরা কথা বলতে পারেনা। হয় তারা আমতা আমতা করে নয়তো বা উত্তেজিত হয়ে যায়। অপু তোর কোন যোগ্যতা নাই রুমিন ফারহানার সাথে এক টেবিলে বসার।।,0,politics,Bengali hate speech ,বেইমানেরা কথা বলতে পারেনা। হয় তারা আমতা আমতা করে নয়তো বা উত্তেজিত হয়ে যায়। অপু তোর কোন যোগ্যতা নাই রুমিন ফারহানার সাথে এক টেবিলে বসার।।
কিছু মানুষ দেখি ঝুলেপড়া বড় বড় দুধ দেখে পাগল হয়ে গেছে আরে একবার ভাবুন ব্রা ও জামা পড়ার পরও কেমন ঝুলে আছে খালি গায়ে কতটা বিশ্রী লাগবে কোথায় দুধের মাথাটা গিয়ে পড়বে,0,"Meme, TikTok and others",Bengali hate speech ,কিছু মানুষ দেখি ঝুলেপড়া বড় বড় দুধ দেখে পাগল হয়ে গেছে আরে একবার ভাবুন ব্রা ও জামা পড়ার পরও কেমন ঝুলে আছে খালি গায়ে কতটা বিশ্রী লাগবে কোথায় দুধের মাথাটা গিয়ে পড়বে
