Post,Labels Set,Dataset,Processed_Post,Labels 4
@mulshikar712 मुखवटे लावून खूप संघी वेगवेगळ्या पक्षात वृत्तपत्रात प्रसार माध्यमात फिरत आहे योग्य वेळी लक्षात नाही आले तर घात होणारच,0,hate_train,मुखवटे लावून खूप संघी वेगवेगळ्या पक्षात वृत्तपत्रात प्रसार माध्यमात फिरत आहे योग्य वेळी लक्षात नाही आले तर घात होणारच,NOT
अवधूता रांडेच्या तू आज एकादशीच्या दिवशी आम्हाला शिव्या घालायला लावत आहेस.. तुझी आई बाळंतीण झाली तेव्हा तू पण हेच विचारलं असशील मी जन्माला आलो तर खटारा हॉस्पिटलमध्ये आणि बाकी भावंडाना प्रायव्हेट हॉस्पिटल.. हो ना रे भाडखाऊ.. हेच विचारलं ना?? #अव_धूर्त_वाघ,1,hate_train,अवधूता रांडेच्या तू आज एकादशीच्या दिवशी आम्हाला शिव्या घालायला लावत आहेस तुझी आई बाळंतीण झाली तेव्हा तू पण हेच विचारलं असशील मी जन्माला आलो तर खटारा हॉस्पिटलमध्ये आणि बाकी भावंडाना प्रायव्हेट हॉस्पिटल हो ना रे भाडखाऊ हेच विचारलं ना अवधूर्तवाघ,PRFN
"महाराष्ट्रात काही लोकं मराठी भाषा वाढीसाठी प्रयत्न करत आहेत खरच त्यांचे जितके आभार मानावे तितके कमीच आहेत पण काही लोकांनी आता विकृतीचा मार्ग अवलंबलेला आहे राष्ट्रीय आंतरराष्ट्रीय विषय राष्ट्रभाषेत करणे शक्य आहे का ? कोणत्याही अमराठी ट्विट खाली येऊन "" कळलं नाही मराठीत सांगा """,0,hate_train,महाराष्ट्रात काही लोकं मराठी भाषा वाढीसाठी प्रयत्न करत आहेत खरच त्यांचे जितके आभार मानावे तितके कमीच आहेत पण काही लोकांनी आता विकृतीचा मार्ग अवलंबलेला आहे राष्ट्रीय आंतरराष्ट्रीय विषय राष्ट्रभाषेत करणे शक्य आहे का कोणत्याही अमराठी ट्विट खाली येऊन कळलं नाही मराठीत सांगा,NOT
@iShaktimaan आईघाल्या 3 दिवस डीएक्टिवेट होतो आणि मग विचारतो की फॉलोवर्स एक्टिव नाही.. पाहिले हे सांग की कुठे गायब होता की कुठे घालत होता😂,1,hate_train,आईघाल्या दिवस डीएक्टिवेट होतो आणि मग विचारतो की फॉलोवर्स एक्टिव नाही पाहिले हे सांग की कुठे गायब होता की कुठे घालत होता,PRFN
मुलींच्या दागिन्यांमध्ये डुकराचे 2-4 केस गुंफायला चालू केले पाहिजेत आपण,1,hate_train,मुलींच्या दागिन्यांमध्ये डुकराचे केस गुंफायला चालू केले पाहिजेत आपण,HATE
भक्त जर असेच सतत रवी आंबेकर ला डीजीटल भिकारी म्हणत राहिले तर तो एक दिवस भक्तांना वैतागून ट्विटर सुध्दा सोडून देईल म्हणे?😳,0,hate_train,भक्त जर असेच सतत रवी आंबेकर ला डीजीटल भिकारी म्हणत राहिले तर तो एक दिवस भक्तांना वैतागून ट्विटर सुध्दा सोडून देईल म्हणे,NOT
"जर आज सुद्धा बरोबर संध्याकाळी ७:३० वाजता तुम्ही टीव्ही वर स्टार स्पोर्ट्स लावलं असेल तर तुम्ही पक्के क्रिकेट फॅन वगैरे काही नाही, रिकामटेकडे आहात!",0,hate_train,जर आज सुद्धा बरोबर संध्याकाळी ७३० वाजता तुम्ही टीव्ही वर स्टार स्पोर्ट्स लावलं असेल तर तुम्ही पक्के क्रिकेट फॅन वगैरे काही नाही रिकामटेकडे आहात,NOT
"🔱॥ ॐ श्री महामाई नमः ॥🔱 🚩।। जय माता दी ।।🚩 🔥श्री महामाई वंदना 🔥 प्रातः स्मरामि शरदिंदुकरोज्जवलाभां, सद्रत्नवन्मकरकुण्डलहारभूषाम। दिव्यायुधोरजितसुनीलसहस्त्रहस्तां, रक्तोत्पलाभचरणां भवतीं परेशाम।। 🎊🎊🎊🎊🎊🎊🎊🎊... https://t.co/XSFjBnajDC",0,hate_train,॥ ॐ श्री महामाई नमः ॥ जय माता दी श्री महामाई वंदना प्रातः स्मरामि शरदिंदुकरोज्जवलाभां सद्रत्नवन्मकरकुण्डलहारभूषाम दिव्यायुधोरजितसुनीलसहस्त्रहस्तां रक्तोत्पलाभचरणां भवतीं परेशाम,NOT
@TV9Marathi @ShelarAshish @Dev_Fadnavis @BhatkhalkarA @ShivSena @AUThackeray @KishoriPednekar 🤣2022 मधला सर्वात पांचट जोक,0,hate_train,मधला सर्वात पांचट जोक,NOT
"छत्तीसगढ IAS ऑफिसर अमित कटारियांना निळं शर्ट आणि गॉगल घातल्यावद्दल कारणे दाखवा नोटिस पाठवण्यात आली होती, राजशिष्टाचार ना पाळल्याबद्दल. मग उद्योगपतींना भेटताना कुठे जातो हा राजशिष्टाचार??? https://t.co/5bs2wE5NEt",0,hate_train,छत्तीसगढ ऑफिसर अमित कटारियांना निळं शर्ट आणि गॉगल घातल्यावद्दल कारणे दाखवा नोटिस पाठवण्यात आली होती राजशिष्टाचार ना पाळल्याबद्दल मग उद्योगपतींना भेटताना कुठे जातो हा राजशिष्टाचार,NOT
"सोषल मिडीयावरच्या स्त्रीया/मुली ह्या तुमच्या घरात असणार्या,वहिनी,काकू,ताई,,मावशी,चंदी मंदी,नंदी...या सारख्याच लठ्ठ,काळ्या,नकट्या,चपट्या,दातर्या, चशमीस,भसाड्या बुटक्या,बोचर्या,
झीपर्या असतात..... ऊगीच परीहू मै चा आव आननारी च्या मागे लागून आपल्या करीअरची वाट लावू नका.",1,hate_train,सोषल मिडीयावरच्या स्त्रीयामुली ह्या तुमच्या घरात असणार्यावहिनीकाकूताईमावशीचंदी मंदीनंदीया सारख्याच लठ्ठकाळ्यानकट्याचपट्यादातर्या चशमीसभसाड्या बुटक्याबोचर्या झीपर्या असतात ऊगीच परीहू मै चा आव आननारी च्या मागे लागून आपल्या करीअरची वाट लावू नका,HATE
@NaMoFanRahul @Shrirekha27 @VaibhavM1718 @praveengavit10 @RajThackeray तू मराठी असूच शकत नाय. तू गुजराती आहे का नाय खर बोल.... खरं बोल पोपटानी तुला पण पचा पचा झवले का नाय?😂😂😂😂😂😂 आई वर जात नाय रे भावा आम्ही मराठी लोक. ते तुमच्या हिजद्या गुजु गांड्यानाच येते. 😂 पचा पचा 🤣🤣🤣🤣,1,hate_train,तू मराठी असूच शकत नाय तू गुजराती आहे का नाय खर बोल खरं बोल पोपटानी तुला पण पचा पचा झवले का नाय आई वर जात नाय रे भावा आम्ही मराठी लोक ते तुमच्या हिजद्या गुजु गांड्यानाच येते पचा पचा,PRFN
लोखंडाने सोन्याचे कितीही तुकडे केले तरी सोन्याची किंमत कमी होत नाही. #BBM3UltimateWinnerVishhal,0,hate_train,लोखंडाने सोन्याचे कितीही तुकडे केले तरी सोन्याची किंमत कमी होत नाही,NOT
"#IRCTC जेव्हा पडला 😕 शेठ: विकू का? मी: तुम्ही पण घेतला होता शेअर? 😲😲 शेठ: आरे येड्या, IRCTC विकू का म्हणलं मी.. 😎😎😎 मी: 🙊",0,hate_train,जेव्हा पडला शेठ विकू का मी तुम्ही पण घेतला होता शेअर शेठ आरे येड्या विकू का म्हणलं मी मी,NOT
@imurAlisha छपरी स्टाईल,1,hate_train,छपरी स्टाईल,HATE
@rautsanjay61 भो अशीच थोबाडीत सिल्वर भोक ने खाल्ली होती....जरा सांभाळून.. लोकशाही आहे....,1,hate_train,भो अशीच थोबाडीत सिल्वर भोक ने खाल्ली होतीजरा सांभाळून लोकशाही आहे,OFFN
आता जर काँग्रेस ची सत्ता केंद्रात असती आणि असे काही घडले असते तर आता पर्यंत राज्य सरकार बरखास्त झाले असते......! जश्यास तसे वागा मवाळ पणा सोडा.,0,hate_train,आता जर काँग्रेस ची सत्ता केंद्रात असती आणि असे काही घडले असते तर आता पर्यंत राज्य सरकार बरखास्त झाले असते जश्यास तसे वागा मवाळ पणा सोडा,NOT
निर्यात घटल्याने #केळी उत्पादकांना फटका..! केळीचे भाव कवडीमोल... शहरात ४०-५० रू डझन अन् शेतातून २-४ रू किलो ने ही घ्यायला कोणी तयार नाही. https://t.co/PWjFGFewTW #शेतकरी #FarmerProtest https://t.co/wakdLKNUFg,0,hate_train,निर्यात घटल्याने केळी उत्पादकांना फटका केळीचे भाव कवडीमोल शहरात ४०५० रू डझन अन् शेतातून २४ रू किलो ने ही घ्यायला कोणी तयार नाही शेतकरी,NOT
आज रात्री मुंबई इंडियन्सचा विजय होईल,0,hate_train,आज रात्री मुंबई इंडियन्सचा विजय होईल,NOT
"@Kranti_evince एकाच धर्माचा उल्लेख कारण तो धर्म माझा आहे, 😊😂 आणि काळजी वाटते , स्वधर्मातील खूळचट रुढीला विरुद्ध बोललं पाहिजे म्हणून चांगल्या हेतून जाणीवपूर्वक ट्विट करतो. आणि उच्च शिक्षण आणि सुसंस्कृत विचार यांचा किती संबंध असतो हा यक्षप्रश्न आहे.. म्हणून उगच अशा लोकांकडून अपेक्षा ठेवू नकोस.",0,hate_train,एकाच धर्माचा उल्लेख कारण तो धर्म माझा आहे आणि काळजी वाटते स्वधर्मातील खूळचट रुढीला विरुद्ध बोललं पाहिजे म्हणून चांगल्या हेतून जाणीवपूर्वक ट्विट करतो आणि उच्च शिक्षण आणि सुसंस्कृत विचार यांचा किती संबंध असतो हा यक्षप्रश्न आहे म्हणून उगच अशा लोकांकडून अपेक्षा ठेवू नकोस,NOT
राजेश टोपेंना हरामखोर म्हणणाऱ्या लोणीकरांवर गुन्हा दाखल #Sarkarnama #MarathiNews #PoliticalNews https://t.co/DWjK7mnpfZ,0,hate_train,राजेश टोपेंना हरामखोर म्हणणाऱ्या लोणीकरांवर गुन्हा दाखल,NOT
वरती चेक्स शर्ट घातलेला इसम दुसरा-तिसरा कोणी नसून मीच आहे. 🤣🤣🤣,0,hate_train,वरती चेक्स शर्ट घातलेला इसम दुसरातिसरा कोणी नसून मीच आहे,NOT
"युरेशियन संघोट्या चोमूंनो, आता वाजवा टाळ्या.",1,hate_train,युरेशियन संघोट्या चोमूंनो आता वाजवा टाळ्या,HATE
"@Sadabhau_khot साहेब आम्ही शिक्षणसेवक मागील दोन वर्षांपासून 6000 पगारावर वेठबिगारी करत आहे. सरकारकडे अनेकदा साकडे घातले, विनंत्या केल्या ह्या निगरगट्ट सरकारला काहीच
फरक पडत नाही. आपण आमचा प्रश्न ह्या अधिवेशनात उपस्थित करून आम्हाला न्याय द्यावा #शिक्षणसेवक_मानधनवाढ @KapilHPatil",0,hate_train,साहेब आम्ही शिक्षणसेवक मागील दोन वर्षांपासून पगारावर वेठबिगारी करत आहे सरकारकडे अनेकदा साकडे घातले विनंत्या केल्या ह्या निगरगट्ट सरकारला काहीच फरक पडत नाही आपण आमचा प्रश्न ह्या अधिवेशनात उपस्थित करून आम्हाला न्याय द्यावा शिक्षणसेवकमानधनवाढ,NOT
ससिन सावंट हे शेवटी खाँग्रेसी मेंदू ग्रासलेला आणी गंजलेला,1,hate_train,ससिन सावंट हे शेवटी खाँग्रेसी मेंदू ग्रासलेला आणी गंजलेला,HATE
@Kirti_03_99 @VaishnaviDongr5 @AnweshaTheQuest लवकरात लवकर ह्या त्रिकोणी चपाती चे तुकडे होवोत 😆😂,0,hate_train,लवकरात लवकर ह्या त्रिकोणी चपाती चे तुकडे होवोत,NOT
"@BalajiShrikant @AshwiniKadu18 @AmitShah @AmarPatil9730 @ArunGadwe @sachin_inc @kamblesandeep12 @PawarSpeaks @Shivsha312896 @PraveenSaley @BJP4India असंही शिक्षित लोक कोणाचे तरी बैल म्हणूनच जगतात, त्यापेक्षा अशिक्षित ठीक",1,hate_train,असंही शिक्षित लोक कोणाचे तरी बैल म्हणूनच जगतात त्यापेक्षा अशिक्षित ठीक,HATE
@AdityaPatward12 @sachin_inc तू आणि तुझा नीच कलाकार. ह्याच्या गांxवर फटके मारायला पाहिजेत. https://t.co/ZhDAQ7zPQC,1,hate_train,तू आणि तुझा नीच कलाकार ह्याच्या गांवर फटके मारायला पाहिजेत,OFFN
@virajrajpawar @Suniel_16 @MiLOKMAT अहो चुतमारीच्या काका तिथं लिहले आहे ते वाच की रे म्हाताऱ्या,1,hate_train,अहो चुतमारीच्या काका तिथं लिहले आहे ते वाच की रे म्हाताऱ्या,PRFN
