GENERIC CATEGORIES,CATEGORY,SUB-CATEGORY,PRODUCT,BRAND,ASPECTS,ASPECT COMBO,LABEL,INDIC REVIEW
Entertainment,Amusement,Parks,For children,IISER Children's Park,"entry price, rides and attractions, developmental activities,Play area,maintenance",Entry,Negative,केवल  आईआईएसईआईआर और  सीएसआईआर कर्मचारी के बच्चों के लिए प्ले एरिया।
Health/Wellness,Living,Stay/ Experience,Homestay,Orchards House - The Hidden Tribe (Manali),"Friendly hosts, homely food, ambience, calm and serene, location, safety, TV, AC/non AC, wifi, parking, affordable rates","Friendly hosts, ambience, wifi, affordable rates",Positive,होस्ट अमेजिंग थे और पूरी प्रॉपर्टी से चेरी और सेब के पेड़ों से घिरे पहाड़ के दृश्य के साथ वातावरण आश्चर्यजनक रूप से सुंदर है। पूरी जगह फ्री वाई-फाई भी उपलब्ध है और रेट्स भी सस्ते हैं।
Office,Furniture,Seating,Ergotouch chairs,Apex,"lumbar support, cushioning, durability, cost, revolving, net and metal Add: back rest recline, squeaky sounds, looks, ","Headrest, looks",Positive,"""बहुत कम ब्रांड हैं जो इस प्राइस रेंज में कुर्सियों के लिए एडजस्टेबल हेडरेस्ट देते हैं। कम कीमत की है, लेकिन प्रीमियम लुक और फील है। """
Hobbies,Photography,Camera accessories,Batteries and chargers,PhotoCare Foton NP-BX 2,"capacity, rechargeable, smart IC, BIS certified, safe, battery life","BIS certified, smart IC",Negative,बीआईएस सर्टिफिकेशन और स्मार्ट आईसी के बारे में कोई रिव्यु नहीं
Building Material,Construction,Binding material,Cement,Rapid Hardening Cement,"fineness, strength, durability, resistance to wet and thermal cracking, cost, application, storage, setting time",Resistance to thermal cracking,Negative,"इस सीमेंट का इस्तेमाल  बड़े पैमाने पर कंक्रीटिंग के लिए नहीं किया जाता है क्योंकि बड़ी मात्रा में हाइड्रेशन की हीट होती है, कंक्रीट के अंदर का तापमान बढ़ जाता है जिससे क्रैकिंग आती है।"
Entertainment,Movies,Genres,Science-fiction,Krish,"superhero, masterpiece, amazing, genius, settings and visual effects, intriguing, phenomenal, stupenduous characters",Superhero,Positive,द इंडियन सुपरहीरो! सराहनीय काम!
Entertainment,Movies,Genres,Family Drama,Family Camp,"entertaining, family values, relatable characters, story-line, star cast, melodrama, enjoyable","Relatable Characters, enjoyable, entertaining",Positive,"मुझे वास्तव में इस फिल्म को देखने में मजा आया। एक फिल्म प्रेमी और एक ईसाई के रूप में, मैंने इस फिल्म को खुद से जुडी हुई और मनोरंजक पाया।"
Food,Grocery,"Flours , food grains, dals and pulses",whole wheat atta,Laxmi bhog atta,"chakki atta, no additives, fiber rich","Chakki atta, no additives",Positive,लक्ष्मी भोग के आटे में चक्की फ्रेश फील है।
SPORTS/GAMES,Equipment,badminton,shuttlecock,Cosco Aero 727 Shuttlecock Nylon,"durable, feather/plastic skirt,user comfort at impact, control, foam tip/cork, price",form tip,Positive,यह एक सस्ती कीमत पर फोम टिप के साथ कोस्को से काफी अच्छी क्वालिटी वाली शटल है। यह टीनेजर्स और नए लोगों के लिए है।
Entertainment,Apps,Entertainment,Music apps,Wynk music,"offline downloads, high quality audio, official albums, recommendations based on taste, location and time of the day, ads, listening with the screen off",Recommendations based on taste,Positive,"ऐप हमारे टेस्ट की धारणा और अभी हम जो गाने सुन रहे हैं, बेहतरीन सांग्स का सुझाव देती है।"
Hobbies,Photography,Camera accessories,Light box,Osaka,"portable, wide application, filter harmful lighting, material, lighting",Portable,Positive,हुक और लूप डिज़ाइन आसानी से सेट अप और कैरी हो जाता है।
Building Material,Construction,Binding material,Cement,Super Sulphated Portland Cement,"fineness, strength, durability, resistance to wet and thermal cracking, cost, application, storage, setting time",Resistance to wet,Positive,एसएसपीसी के साथ बने कंक्रीट की वॉटर रेजिस्टेंस ओपीसी की तुलना में अधिक है।
Hobbies,Photography,Camera accessories,Flash accessories,Hiffin HF,"diffuser, modifier, battery, material",Diffuser,Negative,असेंबली में समस्या आती है और क्लॉथ हुड पर्याप्त नहीं था और इसकी क्वालिटी बेकार है।
