Post,Labels Set,Dataset
அருமை படைப்புகள் நன்றி சகோ,Non-Hate-Speech,tamil_dataset
3 : 49 உனக்கு gay புள்ள பொறந்தா என்னடா பண்ணுவ..   தப்பா பேசாதடா.... கே தாண்டா தனி திறமையாளர்கள்...  உன்ன மாதிரி கூமுட்ட கிடையாது....  சமூகத்தில் பெண்ணை மதிப்பவர்கள்...  love பண்ணி ஏமாற்ற மாட்டார்கள்....  விரும்பினால் உயிர் கூட விடுவாங்க.....,Non-Hate-Speech,tamil_dataset
Nishanthini Krishnamoorthy மன்னிப்பு  தமிழ்ல  எனக்கு  புடிக்காத  ஒரே வார்த்தை 🤣🤣🤣🤣😅😅😅😅😅😅சீ பே,Non-Hate-Speech,tamil_dataset
செமையா  சகோ,Non-Hate-Speech,tamil_dataset
இறைவனின் மறுபிறவி மனித மிருகங்களால் எந்த தொல்லை வந்தாலும் அதை தாங்கிக்கொண்டு வாழ்கை நடத்தும் திருநங்கை எல்லாம் இறைவனின் திருவிளையாடல்.,Non-Hate-Speech,tamil_dataset
சங்கிகளை எதிர்க்கும் குயர்கள்❤️🔥,Non-Hate-Speech,tamil_dataset
நீ மொத ஆம்பலயா பொம்பலயா அத சொல்லு மூதேவி,Hate-Speech,tamil_dataset
Desi Gamer okkk trying to reply in a decent way 🙂🙂 என் மதத்தில் கூறியுள்ள அனைத்தையும் நான் எடுத்துக்கொள்ள வேண்டும் என்ற அவசியம் எனக்கு இல்லை... பல விஷயங்களில் எ‌ன்னுடைய சுய பகுத்தறிவே போதுமானது நண்பரே 🙂,Non-Hate-Speech,tamil_dataset
நான் ஒரு பெண்..... என்னை விட நீங்க அழகு,Non-Hate-Speech,tamil_dataset
நா பார்லர் வச்சி இருக்க வாங்க,Non-Hate-Speech,tamil_dataset
ganesh s Sakthi என்னா பண்றிக,Non-Hate-Speech,tamil_dataset
ஒருசிலர் குடும்பத்தில் கவனிக்கப்படாத சிறுவர்களை தன் போக்கில் போய்க் கொண்டிருப்பார்கள் அப்போது அவர்கள் அன்பை தேடும் பொழுது அது பெண்களிடம் மட்டும் தான் அறிந்து கொள்ள முடியும் அவ்வாறு இருக்கும் சிறுவர்களுக்கு அந்தப் பெண்ணுடைய அணிந்து பார்ப்பதற்கு ஆர்வமாக இருக்கும் ஒருசில மாற்றங்கள் ஏற்படும் ஆண்கள் இச்சைக்காக எத்தனையோ சிறுவர்களை பாலியல் பண்ணிக் கொண்டுதான் இருக்கிறார்கள் அந்த சிறுவர்கள் மணக்கோலத்தில் இருப்பார்கள் அவர்களில் ஒரு வயதுக்குப் பின் உணர்ந்து கொள்வார்கள்,Non-Hate-Speech,tamil_dataset
சமுதாயத்தால் அவர்கள் புறக்கணிக்கப்படும் போது இயலாமையின் வெளிப்பாடாகவே வேறுவழியின்றி இவ்வாறு  நடந்துகொள்கிறார்கள்,Non-Hate-Speech,tamil_dataset
