Post,Labels Set,Dataset,Processed_Post
Eeya kaila marathondi potu ikiran jarava keriyen,1,tamil_dataset,Eeya kaila marathondi potu ikiran jarava keriyen
"; எல்ஜிபிடி, இது மனித சமூகத்தில் தொடங்கப்பட்ட கோக் மற்றும் மாகோக் மக்களால் மீண்டும் நிகழ்கிறது. இது ஒரு பெரிய சான்று. உயிர்த்தெழுதல் நாள்.",0,tamil_dataset,"; எல்ஜிபிடி, இது மனித சமூகத்தில் தொடங்கப்பட்ட கோக் மற்றும் மாகோக் மக்களால் மீண்டும் நிகழ்கிறது. இது ஒரு பெரிய சான்று. உயிர்த்தெழுதல் நாள்."
kuladeep mv பாவம் ப்ரோ அப்டி சொல்லாத அது அவங்க தொழில் அவங்க வாயிலே விழாத....😟,0,tamil_dataset,kuladeep mv பாவம் ப்ரோ அப்டி சொல்லாத அது அவங்க தொழில் அவங்க வாயிலே விழாத....
Yaru indha kurengu pommei 😏😏,1,tamil_dataset,Yaru indha kurengu pommei 
Seruppa adi unaku,1,tamil_dataset,Seruppa adi unaku
"நீங்கள் திருநங்கையரை குறித்து கேட்கிரீர்கள் சரியா?  ஆனால் ஓரினசேர்கை என்பது ஒரு ஆணுக்குரிய ல்லது பெண்ணுக்குரிய முழுதகுதி இருந்தாலும் காமவெறி பிடித்து துணிகரமாக செய்கிற அவலட்சணம். திருநங்கையர் என்பவர்கள் இறைவனின் படைப்பி ஒரு அச்சுப்பிழை. அவர்களையும் அவலட்சணத்தையும் சம்பந்தப்படுத்தாதீர்கள். என் மனைவி ஒரு மாற்றுத்திறனாளி அது தவறு அல்ல, ஆனால் நானும் அவளைப்போல நடந்தால் அது தவறு. புரியும் என்று நம்புகிறேன்.நன்றி",1,tamil_dataset,"நீங்கள் திருநங்கையரை குறித்து கேட்கிரீர்கள் சரியா? ஆனால் ஓரினசேர்கை என்பது ஒரு ஆணுக்குரிய ல்லது பெண்ணுக்குரிய முழுதகுதி இருந்தாலும் காமவெறி பிடித்து துணிகரமாக செய்கிற அவலட்சணம். திருநங்கையர் என்பவர்கள் இறைவனின் படைப்பி ஒரு அச்சுப்பிழை. அவர்களையும் அவலட்சணத்தையும் சம்பந்தப்படுத்தாதீர்கள். என் மனைவி ஒரு மாற்றுத்திறனாளி அது தவறு அல்ல, ஆனால் நானும் அவளைப்போல நடந்தால் அது தவறு. புரியும் என்று நம்புகிறேன்.நன்றி"
மூத்திரம் குடிக்கும் ரெண்டு சங்கிகள் இஞ்சி தின்ன குரங்கு மாதிரி பார்க்கிறானுக.,1,tamil_dataset,மூத்திரம் குடிக்கும் ரெண்டு சங்கிகள் இஞ்சி தின்ன குரங்கு மாதிரி பார்க்கிறானுக.
உங்கள் வாழ்க்கையில் மகிழ்ச்சி மலரட்டும் 🌹🌹🌹🌹🌹👍👍👍👍👍,0,tamil_dataset,உங்கள் வாழ்க்கையில் மகிழ்ச்சி மலரட்டும் 
"அந்த பாசம்.....; வர்ணிக்க வார்த்தயில்ல ப்ரோ.; திருநங்கை என்பவர்கள் ; ஒரே நேரத்தில் ஆணாகவும்,பெண்ணாகவும் சிந்திக்கவும் செயல்படவும் முடிந்த கண்ணியமானவர்கள்.; ; அந்த பையனுக்காக நடு ரோட்ல டான்ஸ் பன்னாங்கல்ல....; அந்த மனசு இருக்கே... அது கண்ணீரால துவைக்கப்பட்ட வெள்ளை மனசு ப்ரோ",0,tamil_dataset,"அந்த பாசம்.....; வர்ணிக்க வார்த்தயில்ல ப்ரோ.; திருநங்கை என்பவர்கள் ; ஒரே நேரத்தில் ஆணாகவும்,பெண்ணாகவும் சிந்திக்கவும் செயல்படவும் முடிந்த கண்ணியமானவர்கள்.; ; அந்த பையனுக்காக நடு ரோட்ல டான்ஸ் பன்னாங்கல்ல....; அந்த மனசு இருக்கே... அது கண்ணீரால துவைக்கப்பட்ட வெள்ளை மனசு ப்ரோ"
Amma orlicks.. ellam onduthan😡,1,tamil_dataset,Amma orlicks.. ellam onduthan
ப்ரோ இதே நல்ல கவனிங்கே ப்ரோ அவங்கே கஷ்டத்தே எப்படி சொல்ல வராங்கே,0,tamil_dataset,ப்ரோ இதே நல்ல கவனிங்கே ப்ரோ அவங்கே கஷ்டத்தே எப்படி சொல்ல வராங்கே
வெளிநாட்டுSoftware company ல அதிகமாக ஓரினசேர்கை செய்கிறார்கள்............இந்தியாவில்   சட்டம் என்பது தவறு......,1,tamil_dataset,வெளிநாட்டுSoftware company ல அதிகமாக ஓரினசேர்கை செய்கிறார்கள்............இந்தியாவில் சட்டம் என்பது தவறு......
திருட்டு புண்டமகன்,1,tamil_dataset,திருட்டு புண்டமகன்
Pesum  evan  oru  desa droki,1,tamil_dataset,Pesum evan oru desa droki
எனக்கும் இந்த பையன் மாதிரி ஆசையாயிருக்கு,0,tamil_dataset,எனக்கும் இந்த பையன் மாதிரி ஆசையாயிருக்கு
திருநங்கை எல்லாரும் நல்ல இருக்கணும்...,0,tamil_dataset,திருநங்கை எல்லாரும் நல்ல இருக்கணும்...
Poda loosa nu podanum polan irki,1,tamil_dataset,Poda loosa nu podanum polan irki
அந்த பையன் அழுதபோது தன் 💞💞தோளில்💞 சாய்த்து💞 💞அரவணைத்த 💞தாய்மையின்💞 அன்பு தான் ❤திருநங்கை💕💓எனும்💞💞💞💞💞💞பெண்மை💞💞💞,0,tamil_dataset,அந்த பையன் அழுதபோது தன் தோளில் சாய்த்து அரவணைத்த தாய்மையின் அன்பு தான் திருநங்கைஎனும்பெண்மை
